title
"Wall Hours: Per Job: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
User,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
Chaffinch,120.00750000,0
"Tern, Sandwich",87.43888889,0
Ovenbird,82.76488889,0
"Warbler, Moltoni's",72.00722222,0
"Scaup, Lesser",72.00432099,0
Siskin,70.03527778,0
"Duck, Ferruginous",70.00805556,0
"Pipit, Meadow",63.57475694,0
"Warbler, Garden",52.33124738,0
Lapwing,49.85089556,0
"Sapsucker, Yellow-bellied",49.75941358,0
"Ibis, Glossy",48.00694444,0
"Treecreeper, Short-toed",46.66084596,0
"Plover, White-tailed",44.13648148,0
"Thrush, Mistle",39.37914141,0
"Bunting, Yellow-breasted",38.73833333,0
"Scoter, Velvet",37.18180556,0
Smew,36.49011905,0
"Gull, Ring-billed",31.90972222,0
"Shearwater, Cory's",27.37690972,0
"Sparrow, White-throated",25.49490741,0
Moorhen,25.48654273,0
"Bunting, Yellow-browed",25.17500000,0
Peregrine,24.84777778,0
Jackdaw,21.84694444,0
"Warbler, Hooded",21.83599206,0
Shag,20.71646465,0
"Redpoll, Lesser",18.89791667,0
"Sandpiper, Spotted",16.91415278,0
"Warbler, Booted",16.76538889,0
"Goose, Egyptian",15.78250000,0
"Warbler, Dusky",15.43750000,2.9494940566043315
Fieldfare,14.37398148,0
Crane,12.67826389,0
"Grosbeak, Evening",10.08083333,5.736683481374286
"Grebe, Pied-billed",10.00406111,0
"Warbler, Sardinian",9.41402469,1.0834245569313228
"Oriole, Baltimore",9.12111111,1.9524224052907544
"Grey, Lesser",8.59051583,0
"Thrush, Grey-cheeked",7.94699945,0.25270636760637494
"Crane, Sandhill",7.43893904,0.6293170187824826
"Auk, Little",7.02769444,1.755787906012348
Whimbrel,6.17696429,0.6503912196723701
"Bunting, Black-headed",5.98691667,0.9781127830854603
"Harrier, Hen",5.04208333,1.4127344221195686
Roller,4.58416667,1.0571184915561778
"Warbler, Yellow-browed",4.51402778,1.386494831634823
"Shrike, Long-tailed",3.89088542,1.5421905431228633
"Plover, Caspian",2.10733760,0.047308522370844895
"Dove, Turtle",1.44922465,0.09512739060820724
Coot,0.97185185,0.00047851951362786767
"Martin, Purple",0.97183642,0.00037868084285168444
"Egret, Cattle",0.97148148,0.0005075905675059156
"Grey, Southern",0.88155664,0.09909785167735996
"Warbler, Golden-winged",0.81574879,0.33900156725604075
"Swift, Alpine",0.66013889,0.2379191991153246
"Thrush, Swainson's",0.56853047,0.04163718237845962
"Stint, Little",0.33320707,0.09324722160395126
"Bunting, Reed",0.29758038,0.026000838980860645
Honey-buzzard,0.28378821,0.002129431051113782
"Gallinule, Allen's",0.26055556,0
Dunlin,0.18926081,0.027954377835160745
"Martin, Crag",0.08049603,0.022331879009996003
"Partridge, Red-legged",0.06500000,0
"Sparrow, Savannah",0.02439103,0.001692897033294295
"Grey, Great",0.02076714,0.0006447632527319156
---------
