title
"Wall Hours: Per Job: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
User,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
Chaffinch,120.00722222,0
"Tern, Sandwich",87.43875000,49.35183032798893
Ovenbird,82.76488889,11.312781727255723
"Warbler, Moltoni's",72.00694444,0
"Scaup, Lesser",72.00432099,0.0007574156507426745
Siskin,70.03500000,0.00019641855032959653
"Duck, Ferruginous",70.00777778,0
"Pipit, Meadow",63.57475694,3.1381681002203465
"Warbler, Garden",52.33125262,0
Lapwing,49.85089556,1.1100556984971608
"Sapsucker, Yellow-bellied",49.75942901,0
"Ibis, Glossy",48.00666667,0
"Treecreeper, Short-toed",46.66083333,5.055259197449116
"Plover, White-tailed",44.13648148,3.886377717302869
"Thrush, Mistle",39.37916667,3.507453886399548
"Bunting, Yellow-breasted",38.73828704,7.9645023860315876
"Scoter, Velvet",37.18166667,24.62597574757316
Smew,36.49007937,2.4079164021948176
"Gull, Ring-billed",31.90972222,0
"Shearwater, Cory's",27.37690972,4.572729206073984
"Sparrow, White-throated",25.49490741,0
Moorhen,25.48654262,0.09521333842934647
"Bunting, Yellow-browed",25.17486111,17.80092216999551
Peregrine,24.84777778,1.3787469626524342
Jackdaw,21.84694444,1.3829746334642423
"Warbler, Hooded",21.83599206,4.004901663765416
Shag,20.71641414,8.044522844697061
"Redpoll, Lesser",18.89791667,0
"Sandpiper, Spotted",16.91415278,1.4100272146527622
"Warbler, Booted",16.76537037,3.9113055556030742
"Goose, Egyptian",15.78250000,1.4182317241819407
"Warbler, Dusky",15.43750000,9.334819660458281
Fieldfare,14.37398148,0
Crane,12.67826389,0.4307670195516059
"Grosbeak, Evening",10.08083333,7.102298361367881
"Grebe, Pied-billed",10.00406111,0.0004021462476186951
"Warbler, Sardinian",9.41403086,1.7878258773980031
"Oriole, Baltimore",9.12110185,7.611183017169982
"Grey, Lesser",8.59051583,0.027937647321332644
"Thrush, Grey-cheeked",7.94699670,0.4591918062663623
"Crane, Sandhill",7.43894097,1.273761336361732
"Auk, Little",7.02769444,2.431694700689441
Whimbrel,6.17696429,0.6904423782007592
"Bunting, Black-headed",5.98691667,0.9781127830854603
"Harrier, Hen",5.04208333,1.9381499596292342
Roller,4.58416667,1.606624250847252
"Warbler, Yellow-browed",4.51402778,3.1765790052054
"Shrike, Long-tailed",3.89088542,2.2654968346862243
"Plover, Caspian",2.10733760,0.047308522370844895
"Dove, Turtle",1.44922324,0.2243324934394895
Coot,0.97185185,0.00047851951362786767
"Martin, Purple",0.97183642,0.00037868084285168444
"Egret, Cattle",0.97148148,0.0005075905675059156
"Grey, Southern",0.88155664,0.09909785167735996
"Warbler, Golden-winged",0.81574879,0.33900156725604075
"Swift, Alpine",0.66013889,0.2379191991153246
"Thrush, Swainson's",0.56853008,0.06726666901074678
"Stint, Little",0.33320707,0.09324722160395126
"Bunting, Reed",0.29758033,0.04570460182877697
Honey-buzzard,0.28378820,0.0027004165583816484
"Gallinule, Allen's",0.26055556,0
Dunlin,0.18926081,0.027954377835160745
"Martin, Crag",0.08049603,0.022331879009996003
"Partridge, Red-legged",0.06500000,0
"Sparrow, Savannah",0.02439103,0.001692897033294295
"Grey, Great",0.02076714,0.0006447632527319156
---------
