title
"CPU Hours: Per Job: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[ovenb] CPU Hours: Per Job","[ybsbu] CPU Hours: Per Job","[sante] CPU Hours: Per Job","[swath] CPU Hours: Per Job","[litst] CPU Hours: Per Job","[savsp] CPU Hours: Per Job"
2016-12-23,0,0,8.60361111,0,0,0
2016-12-24,0,0,24.00000000,0,0,0
2016-12-25,0,0,24.00000000,0,0,0
2016-12-26,0,0,24.00000000,0,0,0
2016-12-27,78.98645833,136.79500000,24.00000000,0,0,0
2016-12-28,383.99888889,383.99861111,24.00000000,0,0,0
2016-12-29,383.99888889,106.45094444,19.56847222,35.48555556,0,0
2016-12-30,383.99888889,164.41981481,3.56861111,4.14055595,5.65000000,0.02760417
2016-12-31,265.13422222,130.38657407,0,1114.53583333,2.45222222,0.02281046
2017-01-01,371.58777778,0,0,0,0,0.02555556
---------
