title
"Wall Hours: Per Job: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[sante] Wall Hours: Per Job","[ovenb] Wall Hours: Per Job","[ybsbu] Wall Hours: Per Job","[swath] Wall Hours: Per Job","[litst] Wall Hours: Per Job","[savsp] Wall Hours: Per Job"
2016-12-23,8.60361111,0,0,0,0,0
2016-12-24,24.00000000,0,0,0,0,0
2016-12-25,24.00000000,0,0,0,0,0
2016-12-26,24.00000000,0,0,0,0,0
2016-12-27,24.00000000,4.93666667,8.54972222,0,0,0
2016-12-28,24.00000000,23.99993056,24.00000000,0,0,0
2016-12-29,19.56847222,23.99993056,8.50644444,0.76085470,0,0
2016-12-30,3.56861111,23.99993056,18.07550926,0.53023336,0.43603175,0.02760417
2016-12-31,0,16.57088889,16.29833333,17.41472222,0.15326389,0.02281046
2017-01-01,0,23.22416667,0,0,0,0.02555556
---------
