title
"CPU Hours: Total: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[ovenb] CPU Hours: Total","[swath] CPU Hours: Total","[ybsbu] CPU Hours: Total","[sante] CPU Hours: Total","[litst] CPU Hours: Total","[savsp] CPU Hours: Total"
2016-12-23,0,0,0,8.6036,0,0
2016-12-24,0,0,0,24.0000,0,0
2016-12-25,0,0,0,24.0000,0,0
2016-12-26,0,0,0,24.0000,0,0
2016-12-27,315.9458,0,136.7950,24.0000,0,0
2016-12-28,1535.9956,0,383.9986,24.0000,0,0
2016-12-29,1535.9956,461.3122,532.2547,39.1369,0,0
2016-12-30,1535.9956,2952.2164,986.5189,7.1372,39.5500,0.2208
2016-12-31,1325.6711,1114.5358,391.1597,0,9.8089,0.3878
2017-01-01,371.5878,0,0,0,0,0.0256
---------
