title
"CPU Hours: Per Job: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Scaup, Lesser] CPU Hours: Per Job","[Warbler, Dusky] CPU Hours: Per Job","[Scoter, Velvet] CPU Hours: Per Job","[Pipit, Meadow] CPU Hours: Per Job","[Chaffinch] CPU Hours: Per Job","[Smew] CPU Hours: Per Job","[Siskin] CPU Hours: Per Job","[Duck, Ferruginous] CPU Hours: Per Job","[Goose, Egyptian] CPU Hours: Per Job","[Crane] CPU Hours: Per Job","[Peregrine] CPU Hours: Per Job","[Bunting, Yellow-browed] CPU Hours: Per Job","[Warbler, Yellow-browed] CPU Hours: Per Job","[Grosbeak, Evening] CPU Hours: Per Job","[Ibis, Glossy] CPU Hours: Per Job","[Ovenbird] CPU Hours: Per Job","[Sparrow, White-throated] CPU Hours: Per Job","[Whimbrel] CPU Hours: Per Job","[Warbler, Sardinian] CPU Hours: Per Job","[Shag] CPU Hours: Per Job","[Warbler, Garden] CPU Hours: Per Job","[Plover, White-tailed] CPU Hours: Per Job","[Thrush, Mistle] CPU Hours: Per Job","[Bunting, Yellow-breasted] CPU Hours: Per Job","[Treecreeper, Short-toed] CPU Hours: Per Job","[Sandpiper, Spotted] CPU Hours: Per Job","[Crane, Sandhill] CPU Hours: Per Job","[Shearwater, Cory's] CPU Hours: Per Job","[Roller] CPU Hours: Per Job","[Fieldfare] CPU Hours: Per Job","[Warbler, Hooded] CPU Hours: Per Job","[Oriole, Baltimore] CPU Hours: Per Job","[Sapsucker, Yellow-bellied] CPU Hours: Per Job","[Auk, Little] CPU Hours: Per Job","[Warbler, Booted] CPU Hours: Per Job","[Swift, Alpine] CPU Hours: Per Job","[Redpoll, Lesser] CPU Hours: Per Job","[Shrike, Long-tailed] CPU Hours: Per Job","[Gallinule, Allen's] CPU Hours: Per Job","[Plover, Caspian] CPU Hours: Per Job","[Warbler, Golden-winged] CPU Hours: Per Job","[Thrush, Grey-cheeked] CPU Hours: Per Job","[Warbler, Moltoni's] CPU Hours: Per Job","[Tern, Sandwich] CPU Hours: Per Job","[Gull, Ring-billed] CPU Hours: Per Job","[Lapwing] CPU Hours: Per Job","[Jackdaw] CPU Hours: Per Job","[Moorhen] CPU Hours: Per Job","[Dove, Turtle] CPU Hours: Per Job","[Dunlin] CPU Hours: Per Job","[Thrush, Swainson's] CPU Hours: Per Job","[Bunting, Black-headed] CPU Hours: Per Job","[Bunting, Reed] CPU Hours: Per Job","[Grebe, Pied-billed] CPU Hours: Per Job","[Grey, Lesser] CPU Hours: Per Job","[Stint, Little] CPU Hours: Per Job","[Harrier, Hen] CPU Hours: Per Job","[Honey-buzzard] CPU Hours: Per Job","[Martin, Crag] CPU Hours: Per Job","[Partridge, Red-legged] CPU Hours: Per Job","[Coot] CPU Hours: Per Job","[Martin, Purple] CPU Hours: Per Job","[Egret, Cattle] CPU Hours: Per Job","[Grey, Southern] CPU Hours: Per Job","[Sparrow, Savannah] CPU Hours: Per Job","[Grey, Great] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.95638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.29972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,8.60361111,0,0,0,0,287.99944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,287.99944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,156.95805556,0,0,0,76.17652778,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.26650000,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,287.99944444,0,0,0,575.99847222,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,0,2997.10833333,1246.46629630,243.18166667,0,1487.81416667,0,0,0,0,0,0,0,0,78.98645833,0,0,0,0,383.99866667,0,0,136.79500000,111.72222222,0,650.84194444,0,0,0,0,287.99972222,0,0,238.86583333,0,0,0,0,0,0,0,4.72138889,24.00000000,0,0,0,0,287.99944444,0,0,0,143.14620370,0,0,0,0,3.21666667,0,0,0,0,0,0,0,0
2016-12-28,3274.15083333,0,3455.98666667,1462.12201852,1535.99638889,0,1170.66861111,0,0,0,0,0,0,0,94.01055556,383.99888889,0,0,266.54009259,193.12597222,144.42060764,60.47629630,37.38382716,383.99861111,141.10611111,0,284.72267677,0,0,0,70.31822222,287.99972222,0,0,287.99888889,0,0,0,0,0,0,0,24.00000000,24.00000000,0,13.35263039,0,5.01594591,287.99944444,0,0,0,630.22435897,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0
2016-12-29,4394.64972222,0,3455.98666667,2251.53997475,1535.99638889,831.60194444,1439.99430556,180.11583333,410.96965278,611.48129630,1406.27027778,758.98472222,1038.19027778,107.90750000,479.99722222,383.99888889,0,0,535.35031746,387.20824074,382.20287500,287.99814815,287.99817901,106.45094444,164.24527778,48.73891667,357.72950231,39.71662037,0,0,111.16369444,287.99972222,79.40908730,52.00361111,287.99888889,0,28.69416667,22.24194444,0,0,0,7.24000000,24.00000000,19.56847222,0,16.60265721,0,13.10744068,38.39821637,0,35.48555556,0,403.97985556,4.65991111,0,0,2.01961111,4.96867135,0,0,0,0,0,0,0,0
2016-12-30,4394.64972222,2468.12509259,324.25027778,2131.61558081,1535.99638889,1568.46500000,625.34763889,1439.99416667,1151.41083333,765.75111111,489.36481481,480.00180556,402.83194444,510.57291667,386.12555556,383.99888889,0,683.10111111,129.32164286,173.83891975,302.76559722,181.16333333,174.64191919,164.41981481,102.30640432,114.58523148,77.69218676,143.85805556,21.99777778,64.03555556,92.48954861,287.99972222,77.76251852,68.03250000,13.26457407,6.51777778,52.54250000,4.02354167,28.14000000,0,16.32947222,142.16243056,19.28583333,3.56861111,17.79722222,21.71941909,10.84229167,13.31263082,8.81518306,5.80186420,4.14055595,3.48631944,2.20209928,5.34415000,4.25001700,5.65000000,4.10559722,3.17815849,1.60992063,1.04000000,0.97263889,0.97243056,0.97256944,1.58977533,0.02760417,0.02405133
2016-12-31,1121.36703704,5701.59805556,0,1158.12033626,1535.99638889,1590.53138889,444.35833333,1439.99416667,821.48868056,977.06916667,1439.98666667,294.98722222,0,0,0,265.13422222,385.99422840,261.10179012,772.86614198,224.42157407,245.43224537,0,287.99777778,130.38657407,119.81064815,190.07037037,30.92498661,191.99921296,251.46791667,158.30250000,57.49128472,58.32127778,76.17240196,70.16857143,1.92819444,131.93777778,23.98416667,25.91166667,0,2.35899306,35.16287393,14.57162982,0,0,14.11250000,10.83076688,22.00930556,12.53390976,8.33840258,12.54733333,1114.53583333,7.65398148,1.45788628,0,5.54029391,2.45222222,8.63166667,3.84822922,0,0,0.97312500,0.97349537,0.97211806,1.07971065,0.02281046,0.01479010
2017-01-01,0,0,0,263.47802469,1293.29472222,0,0,1140.36222222,0,667.69662698,158.24861111,0,3.46666667,0,0,371.58777778,198.70750000,269.35039683,70.31932099,118.89888889,104.22445035,0,60.55277778,0,141.00408730,63.49951389,0,68.79178571,21.40555556,61.31875000,0,15.50962607,51.40424242,5.71666667,0,7.11888889,45.96250000,45.02654321,0,25.37237072,8.24474444,35.25861111,0,0,0,13.34548463,0,11.50595307,9.56626714,6.26263789,0,0,36.21201389,0,0,0,0,0.56757298,0,0,0.96979167,0.96958333,0.96975694,0.02809588,0.02555556,0
---------
