title
"Wall Hours: Per Job: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
User,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
Chaffinch,120.00720000,0
"Tern, Sandwich",87.43875000,49.35183032798893
Ovenbird,82.76490000,11.312781727255723
"Warbler, Moltoni's",72.00690000,0
"Scaup, Lesser",72.00432222,0.0007574156507426745
Siskin,70.03500000,0.00019641855032959653
"Duck, Ferruginous",70.00780000,0
"Pipit, Meadow",63.57475833,3.1381681002203465
"Warbler, Garden",52.33125283,0
Lapwing,49.85089578,1.1100556984971628
"Sapsucker, Yellow-bellied",49.75943333,0
"Ibis, Glossy",48.00670000,0
"Treecreeper, Short-toed",46.66083182,5.055259197449116
"Plover, White-tailed",44.13646667,3.886377717302869
"Thrush, Mistle",39.37916364,3.507453886399556
"Bunting, Yellow-breasted",38.73828333,7.9645023860315876
"Scoter, Velvet",37.18170000,24.62597574757316
Smew,36.49008571,2.4079164021948176
"Gull, Ring-billed",31.90970000,0
"Shearwater, Cory's",27.37690625,4.572729206073983
"Sparrow, White-throated",25.49491111,0
Moorhen,25.48654256,0.09521333842934561
"Bunting, Yellow-browed",25.17490000,17.80092216999551
Peregrine,24.84776667,1.378746962652221
Jackdaw,21.84695000,1.3829746334642423
"Warbler, Hooded",21.83599048,4.004901663765416
Shag,20.71641818,8.044522844697065
"Redpoll, Lesser",18.89795000,0
"Sandpiper, Spotted",16.91415333,1.4100272146527626
"Warbler, Booted",16.76537333,3.9113055556030742
"Goose, Egyptian",15.78248750,1.4182317241819407
"Warbler, Dusky",15.43750000,9.334819660458281
Fieldfare,14.37396667,0
Crane,12.67826250,0.4307670195515926
"Grosbeak, Evening",10.08085000,7.102298361367881
"Grebe, Pied-billed",10.00406200,0.0004021462476186951
"Warbler, Sardinian",9.41402667,1.7878258773980027
"Oriole, Baltimore",9.12110000,7.611183017169982
"Grey, Lesser",8.59051570,0.027937647321332644
"Thrush, Grey-cheeked",7.94699604,0.4591918062663623
"Crane, Sandhill",7.43894097,1.273761336361732
"Auk, Little",7.02768000,2.431694700689441
Whimbrel,6.17697143,0.6904423782007619
"Bunting, Black-headed",5.98691000,0.9781127830854603
"Harrier, Hen",5.04208500,1.9381499596292342
Roller,4.58417500,1.606624250847252
"Warbler, Yellow-browed",4.51405000,3.1765790052054
"Shrike, Long-tailed",3.89088750,2.2654968346862243
"Plover, Caspian",2.10733770,0.047308522370844736
"Dove, Turtle",1.44922342,0.22433249343948947
Coot,0.97185000,0.00047851951362786767
"Martin, Purple",0.97183611,0.00037868084285168444
"Egret, Cattle",0.97148333,0.0005075905675059156
"Grey, Southern",0.88155649,0.09909785167735996
"Warbler, Golden-winged",0.81574783,0.3390015672560407
"Swift, Alpine",0.66013750,0.2379191991153246
"Thrush, Swainson's",0.56853001,0.06726666901074678
"Stint, Little",0.33320909,0.09324722160395126
"Bunting, Reed",0.29758034,0.04570460182877697
Honey-buzzard,0.28378820,0.002700416558381652
"Gallinule, Allen's",0.26060000,0
Dunlin,0.18926151,0.027954377835160745
"Martin, Crag",0.08050000,0.022331879009996003
"Partridge, Red-legged",0.06500000,0
"Sparrow, Savannah",0.02439231,0.001692897033294295
"Grey, Great",0.02076716,0.0006447632527319156
---------
