title
"CPU Hours: Total: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Honey-buzzard] CPU Hours: Total","[Pipit, Meadow] CPU Hours: Total","[Scaup, Lesser] CPU Hours: Total","[Moorhen] CPU Hours: Total","[Bunting, Reed] CPU Hours: Total","[Warbler, Garden] CPU Hours: Total","[Crane, Sandhill] CPU Hours: Total","[Crane] CPU Hours: Total","[Plover, Caspian] CPU Hours: Total","[Smew] CPU Hours: Total","[Warbler, Sardinian] CPU Hours: Total","[Lapwing] CPU Hours: Total","[Goose, Egyptian] CPU Hours: Total","[Warbler, Dusky] CPU Hours: Total","[Dove, Turtle] CPU Hours: Total","[Sandpiper, Spotted] CPU Hours: Total","[Scoter, Velvet] CPU Hours: Total","[Grey, Lesser] CPU Hours: Total","[Siskin] CPU Hours: Total","[Treecreeper, Short-toed] CPU Hours: Total","[Chaffinch] CPU Hours: Total","[Ovenbird] CPU Hours: Total","[Sparrow, White-throated] CPU Hours: Total","[Thrush, Mistle] CPU Hours: Total","[Whimbrel] CPU Hours: Total","[Shag] CPU Hours: Total","[Thrush, Swainson's] CPU Hours: Total","[Peregrine] CPU Hours: Total","[Duck, Ferruginous] CPU Hours: Total","[Warbler, Hooded] CPU Hours: Total","[Sapsucker, Yellow-bellied] CPU Hours: Total","[Shearwater, Cory's] CPU Hours: Total","[Oriole, Baltimore] CPU Hours: Total","[Bunting, Yellow-breasted] CPU Hours: Total","[Thrush, Grey-cheeked] CPU Hours: Total","[Bunting, Yellow-browed] CPU Hours: Total","[Plover, White-tailed] CPU Hours: Total","[Dunlin] CPU Hours: Total","[Warbler, Golden-winged] CPU Hours: Total","[Warbler, Yellow-browed] CPU Hours: Total","[Grosbeak, Evening] CPU Hours: Total","[Warbler, Booted] CPU Hours: Total","[Ibis, Glossy] CPU Hours: Total","[Auk, Little] CPU Hours: Total","[Swift, Alpine] CPU Hours: Total","[Roller] CPU Hours: Total","[Shrike, Long-tailed] CPU Hours: Total","[Grebe, Pied-billed] CPU Hours: Total","[Fieldfare] CPU Hours: Total","[Tern, Sandwich] CPU Hours: Total","[Redpoll, Lesser] CPU Hours: Total","[Grey, Southern] CPU Hours: Total","[Harrier, Hen] CPU Hours: Total","[Jackdaw] CPU Hours: Total","[Warbler, Moltoni's] CPU Hours: Total","[Bunting, Black-headed] CPU Hours: Total","[Grey, Great] CPU Hours: Total","[Stint, Little] CPU Hours: Total","[Martin, Purple] CPU Hours: Total","[Gull, Ring-billed] CPU Hours: Total","[Gallinule, Allen's] CPU Hours: Total","[Coot] CPU Hours: Total","[Egret, Cattle] CPU Hours: Total","[Martin, Crag] CPU Hours: Total","[Partridge, Red-legged] CPU Hours: Total","[Sparrow, Savannah] CPU Hours: Total"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.9564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,152.3531,0,0,0,0,0,0,0,0,0,313.9161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,1151.9969,216.3325,0,0,0,0,0,0,0,0,575.9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,3.2167,3739.3989,0,0,1717.7544,1919.9933,1301.6839,0,0,0,0,0,0,0,575.9989,0,2997.1083,0,1487.8142,558.6111,243.1817,315.9458,0,0,0,0,0,0,0,0,0,0,287.9997,136.7950,0,0,0,0,0,0,0,238.8658,0,0,0,0,0,0,0,24.0000,0,0,0,0,4.7214,0,0,0,0,0,0,0,0,0,0,0
2016-12-28,24.0000,21931.8303,29467.3575,953.0297,8192.9167,2310.7297,3131.9494,0,0,0,799.6203,1962.8367,0,0,575.9989,0,3455.9867,0,2341.3372,1411.0611,1535.9964,1535.9956,0,336.4544,0,386.2519,0,0,0,351.5911,0,0,287.9997,383.9986,0,0,181.4289,0,0,0,0,287.9989,94.0106,0,0,0,0,0,0,24.0000,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0
2016-12-29,1237.1992,49533.8794,39551.8475,12583.1431,10099.4964,7644.0575,8585.5081,1834.4439,0,5821.2136,3747.4522,3901.6244,1643.8786,0,729.5661,487.3892,3455.9867,0,2879.9886,1970.9433,1535.9964,1535.9956,0,2591.9836,0,1161.6247,461.3122,1406.2703,180.1158,1111.6369,555.8636,238.2997,287.9997,532.2547,7.2400,758.9847,863.9944,0,0,1038.1903,107.9075,287.9989,479.9972,52.0036,0,0,22.2419,232.9956,0,39.1369,28.6942,0,10.0981,0,24.0000,0,0,0,0,0,0,0,0,0,0,0
2016-12-30,61332.1025,46895.5428,39551.8475,21766.1514,7632.4761,6055.3119,7303.0656,6126.0089,0,10979.2550,4526.2575,5473.2936,9211.2867,7404.3753,3076.4989,6875.1139,648.5006,3055.7622,1250.6953,1841.5153,1535.9964,1535.9956,0,1921.0611,683.1011,1564.5503,2952.2164,1468.0944,1439.9942,1479.8328,1166.4378,1150.8644,287.9997,986.5189,568.6497,960.0036,543.4900,522.1678,326.5894,402.8319,1021.1458,198.9686,386.1256,68.0325,26.0711,65.9933,16.0942,267.2075,64.0356,7.1372,52.5425,108.1047,82.1119,43.3692,19.2858,13.9453,40.8392,39.5500,11.6692,17.7972,28.1400,7.7811,7.7806,22.5389,1.0400,0.2208
2016-12-31,86581.3092,22004.2864,10092.3033,20518.0103,3452.2747,11780.7478,2566.7739,6839.4842,37.7439,1590.5314,6955.7953,2761.8456,3285.9547,5701.5981,2976.8097,4561.6889,0,5534.7536,444.3583,1437.7278,1535.9964,1325.6711,3473.9481,287.9978,2349.9161,1346.5294,1114.5358,1439.9867,1439.9942,919.8606,1294.9308,1151.9953,291.6064,391.1597,1428.0197,294.9872,0,125.4733,914.2347,0,0,7.7128,0,491.1800,527.7511,502.9358,77.7350,0,158.3025,0,23.9842,25.9131,8.6317,44.0186,0,45.9239,13.7992,9.8089,11.6819,14.1125,0,7.7850,7.7769,0,0,0.3878
2017-01-01,7900.6158,2371.3022,0,11183.7864,3041.8092,4898.5492,0,4673.8764,19080.0228,0,632.8739,1254.4756,0,0,2946.4103,253.9981,0,0,0,987.0286,1293.2947,371.5878,1788.3675,60.5528,1885.4528,118.8989,0,158.2486,1140.3622,0,565.4467,963.0850,403.2503,0,35.2586,0,0,870.5067,206.1186,3.4667,0,0,0,11.4333,56.9511,21.4056,405.2389,0,122.6375,0,45.9625,1.7419,0,0,0,0,0,0,11.6350,0,0,7.7583,7.7581,0,0,0.0256
---------
