title
"Node Hours: Total: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
User,"Node Hours: Total"
Moorhen,67004.1206
Honey-buzzard,15603.5273
Lapwing,15354.0759
"Pipit, Meadow",12206.3536
"Grey, Lesser",8590.5158
"Scaup, Lesser",7416.4597
"Warbler, Garden",2773.5560
"Warbler, Sardinian",2004.2246
"Bunting, Reed",1757.5099
Crane,1622.8177
"Plover, Caspian",1593.1473
Smew,1532.5834
"Crane, Sandhill",1494.1236
"Dove, Turtle",1423.1385
"Warbler, Dusky",1092.1644
"Treecreeper, Short-toed",1026.5664
"Sandpiper, Spotted",1014.8490
Chaffinch,960.0573
"Sapsucker, Yellow-bellied",895.6695
"Goose, Egyptian",883.8199
"Scoter, Velvet",873.5178
Siskin,840.4198
"Thrush, Grey-cheeked",802.6469
"Thrush, Swainson's",550.6927
"Grebe, Pied-billed",500.2031
"Sparrow, White-throated",458.9084
"Warbler, Hooded",458.5558
"Shearwater, Cory's",438.0304
"Thrush, Mistle",433.1706
Ovenbird,413.8244
Whimbrel,409.8722
Peregrine,372.7167
"Duck, Ferruginous",350.0388
"Grosbeak, Evening",282.2633
"Oriole, Baltimore",273.8467
"Warbler, Booted",251.4810
"Bunting, Yellow-breasted",232.4301
Shag,227.8811
"Warbler, Yellow-browed",180.5611
"Tern, Sandwich",174.8777
Dunlin,150.5342
"Grey, Southern",135.7597
"Plover, White-tailed",132.4094
"Warbler, Golden-winged",120.6085
"Harrier, Hen",100.8417
"Bunting, Yellow-browed",100.6989
Jackdaw,87.3878
"Swift, Alpine",76.3467
"Warbler, Moltoni's",72.0072
"Auk, Little",70.2768
"Shrike, Long-tailed",62.2541
"Bunting, Black-headed",59.8691
"Grey, Great",54.6383
Roller,54.6022
"Ibis, Glossy",48.0070
Fieldfare,43.1219
"Redpoll, Lesser",37.7959
"Martin, Purple",34.9861
"Gull, Ring-billed",31.9097
Coot,23.3244
"Egret, Cattle",23.3156
"Stint, Little",3.6654
"Gallinule, Allen's",2.3450
"Martin, Crag",1.1270
"Sparrow, Savannah",0.6341
"Partridge, Red-legged",0.0650
---------
