title
"Wall Hours: Total: by User"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Moorhen] Wall Hours: Total","[Honey-buzzard] Wall Hours: Total","[Lapwing] Wall Hours: Total","[Grey, Lesser] Wall Hours: Total","[Warbler, Garden] Wall Hours: Total","[Bunting, Reed] Wall Hours: Total","[Plover, Caspian] Wall Hours: Total","[Pipit, Meadow] Wall Hours: Total","[Dove, Turtle] Wall Hours: Total","[Crane, Sandhill] Wall Hours: Total","[Treecreeper, Short-toed] Wall Hours: Total","[Sandpiper, Spotted] Wall Hours: Total","[Sapsucker, Yellow-bellied] Wall Hours: Total","[Thrush, Grey-cheeked] Wall Hours: Total","[Scaup, Lesser] Wall Hours: Total","[Grebe, Pied-billed] Wall Hours: Total","[Warbler, Hooded] Wall Hours: Total","[Shearwater, Cory's] Wall Hours: Total","[Thrush, Mistle] Wall Hours: Total","[Warbler, Sardinian] Wall Hours: Total","[Ovenbird] Wall Hours: Total","[Thrush, Swainson's] Wall Hours: Total","[Oriole, Baltimore] Wall Hours: Total","[Smew] Wall Hours: Total","[Warbler, Booted] Wall Hours: Total","[Bunting, Yellow-breasted] Wall Hours: Total","[Sparrow, White-throated] Wall Hours: Total","[Shag] Wall Hours: Total","[Crane] Wall Hours: Total","[Tern, Sandwich] Wall Hours: Total","[Siskin] Wall Hours: Total","[Grey, Southern] Wall Hours: Total","[Plover, White-tailed] Wall Hours: Total","[Goose, Egyptian] Wall Hours: Total","[Chaffinch] Wall Hours: Total","[Harrier, Hen] Wall Hours: Total","[Jackdaw] Wall Hours: Total","[Whimbrel] Wall Hours: Total","[Peregrine] Wall Hours: Total","[Scoter, Velvet] Wall Hours: Total","[Warbler, Moltoni's] Wall Hours: Total","[Auk, Little] Wall Hours: Total","[Duck, Ferruginous] Wall Hours: Total","[Shrike, Long-tailed] Wall Hours: Total","[Bunting, Black-headed] Wall Hours: Total","[Warbler, Golden-winged] Wall Hours: Total","[Grey, Great] Wall Hours: Total","[Bunting, Yellow-browed] Wall Hours: Total","[Ibis, Glossy] Wall Hours: Total","[Warbler, Dusky] Wall Hours: Total","[Dunlin] Wall Hours: Total","[Fieldfare] Wall Hours: Total","[Redpoll, Lesser] Wall Hours: Total","[Martin, Purple] Wall Hours: Total","[Gull, Ring-billed] Wall Hours: Total","[Coot] Wall Hours: Total","[Egret, Cattle] Wall Hours: Total","[Grosbeak, Evening] Wall Hours: Total","[Roller] Wall Hours: Total","[Swift, Alpine] Wall Hours: Total","[Warbler, Yellow-browed] Wall Hours: Total","[Stint, Little] Wall Hours: Total","[Martin, Crag] Wall Hours: Total","[Sparrow, Savannah] Wall Hours: Total","[Gallinule, Allen's] Wall Hours: Total","[Partridge, Red-legged] Wall Hours: Total"
2016-12-22,0,0,0,0,0,0,0,0,16.9417,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,8.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,6.3481,0,0,26.1597,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,13.5208,48.0000,0,0,48.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,3.2167,0,0,119.9994,67.3092,0,38.9519,48.0000,40.6775,69.8264,0,0,0,0,0,0,0,0,0,19.7467,0,24.0000,0,19.9056,8.5497,0,0,0,24.0000,20.6642,0,0,0,3.7997,0,0,0,0,20.8133,4.7214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-28,953.0297,24.0000,1962.8367,0,144.4206,292.0286,0,228.4567,48.0000,145.2178,176.3828,0,0,0,160.7683,0,43.9489,0,28.0378,24.9881,95.9997,0,24.0000,0,24.0000,24.0000,0,21.4100,0,24.0000,36.7781,0,15.1192,0,24.0000,0,0,0,0,24.0000,24.0000,0,0,0,0,0,0,0,4.7006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-29,12583.1431,162.8175,3901.6244,0,477.7536,356.2878,0,515.9778,67.1961,332.3533,246.3681,40.6158,138.9658,3.6200,215.9992,232.9956,138.9547,29.7875,215.9986,117.1078,95.9997,9.8911,24.0000,80.8503,24.0000,42.5322,0,56.8025,19.1089,39.1369,48.0000,0,71.9994,14.6772,24.0000,10.0981,0,0,23.4378,24.0000,24.0000,10.4008,3.0019,22.2419,0,0,0,18.9747,24.0000,0,0,0,7.1736,0,0,0,0,1.9269,0,0,6.4886,0,0,0,0,0
2016-12-30,21766.1514,6346.5875,5473.2936,3055.7622,378.4569,461.5117,0,488.4953,380.4381,388.7503,230.8669,572.9261,291.6094,67.3875,215.9992,267.2075,178.1367,143.8581,160.0883,134.0761,95.9997,378.0564,24.0000,152.4897,175.8625,108.4531,0,85.7389,63.8125,7.1372,25.3708,108.1047,45.2908,82.2439,24.0000,82.1119,43.3692,9.4875,24.4683,5.5503,19.2858,13.6064,24.0000,15.8619,13.9453,9.6922,40.8392,24.0006,19.3064,29.3433,12.8208,8.0044,13.1356,11.6692,17.7972,7.7811,7.7806,18.2347,4.3653,0.5364,2.5178,3.0522,1.1269,0.2208,0.2606,0.0650
2016-12-31,20518.0103,8276.1653,2761.8456,5534.7536,1112.5964,329.0283,3.1456,229.2114,372.1014,164.2083,179.7158,380.1408,323.7325,714.0100,55.2722,0,97.5156,143.9994,23.9997,129.0278,82.8544,17.4147,24.2375,22.0908,7.7128,48.8950,149.5000,58.9756,71.2447,0,9.2575,25.9131,0,29.3389,24.0000,8.6317,44.0186,42.3756,23.9997,0,0,45.3169,24.0000,3.8883,45.9239,38.8867,13.7992,7.3747,0,16.9692,1.4844,19.7878,5.9961,11.6819,14.1125,7.7850,7.7769,0,9.6903,8.2461,0,0.6131,0,0.3878,0,0
