title
"CPU Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Thrush, Hermit] CPU Hours: Per Job","[Scaup, Lesser] CPU Hours: Per Job","[Fieldfare] CPU Hours: Per Job","[Smew] CPU Hours: Per Job","[Nuthatch] CPU Hours: Per Job","[Bunting, Ortolan] CPU Hours: Per Job","[White, Great] CPU Hours: Per Job","[Warbler, Savi's] CPU Hours: Per Job","[Gull, Yellow-legged] CPU Hours: Per Job","[Dotterel] CPU Hours: Per Job","[Accentor, Alpine] CPU Hours: Per Job","[Chaffinch] CPU Hours: Per Job","[Bluetail, Red-flanked] CPU Hours: Per Job","[Warbler, Blackpoll] CPU Hours: Per Job","[Kestrel, Lesser] CPU Hours: Per Job","[Shearwater, Balearic] CPU Hours: Per Job","[Jackdaw] CPU Hours: Per Job","[Swift, Little] CPU Hours: Per Job","[Warbler, Hooded] CPU Hours: Per Job","[Martin, Sand] CPU Hours: Per Job","[Fulmar] CPU Hours: Per Job","[Petrel, Fea's] CPU Hours: Per Job","[Gull, Glaucous-winged] CPU Hours: Per Job","[Egret, Snowy] CPU Hours: Per Job","[Goose, Red-breasted] CPU Hours: Per Job","[Chiffchaff, Iberian] CPU Hours: Per Job","[Shearwater, Great] CPU Hours: Per Job","[Tern, Caspian] CPU Hours: Per Job","[Bufflehead] CPU Hours: Per Job","[Moorhen] CPU Hours: Per Job","[Lark, Calandra] CPU Hours: Per Job","[Dunlin] CPU Hours: Per Job","[Spotted, Great] CPU Hours: Per Job","[Shearwater, Macaronesian] CPU Hours: Per Job","[Harrier, Hen] CPU Hours: Per Job","[Flycatcher, Taiga] CPU Hours: Per Job","[Blackbird] CPU Hours: Per Job","[Yellowthroat, Common] CPU Hours: Per Job","[Dowitcher, Short-billed] CPU Hours: Per Job","[Bittern] CPU Hours: Per Job","[Warbler, Cetti's] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,200.95640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.29970000,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60360000,0,0,287.99940000,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,287.99940000,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,116.56730000,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,287.99970000,43.26650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,431.99895000,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,0,1246.46630000,0,0,0,1487.81420000,0,0,0,0,265.59070000,383.99866000,0,0,1432.93073333,0,0,0,0,111.72222000,238.86580000,0,0,0,0,4.72140000,79.45680000,0,0,163.83952857,0,0,0,0,3.21670000,0,0,0,0,0
2016-12-28,0,3274.15083333,1462.12202000,0,0,0,1170.66865000,0,0,94.01060000,0,911.99805000,144.42060625,60.47630000,37.38382222,548.99467500,0,0,70.31822000,0,141.10611000,287.99890000,0,0,0,0,24.00000000,323.99903333,13.35263061,5.01594579,497.73939000,0,0,0,0,24.00000000,0,0,0,0,0
2016-12-29,0,4394.64972222,2154.61396957,831.60194286,410.96965000,611.48130000,1116.59370000,758.98470000,1038.19030000,479.99720000,0,911.99805000,382.20287500,287.99813333,287.99817778,481.65978800,46.91667273,0,84.37103750,52.00360000,35.54740161,287.99890000,0,0,0,7.24000000,24.00000000,107.02914167,16.60265745,13.10744063,291.44702407,0,0,0,2.01960000,7.00415156,0,0,0,0,107.90750000
2016-12-30,2468.12510000,3044.45527692,1678.33820357,1568.46500000,1151.41083750,765.75111250,691.69785714,480.00180000,402.83190000,386.12560000,0,911.99805000,302.76559500,181.16333333,174.64191818,82.82881354,107.24654769,21.99776667,109.61237917,68.03250000,31.01062794,13.26458000,28.14000000,0,16.32947500,142.16242500,19.28580000,7.46167405,21.71941905,13.31263076,4.35340314,5.80186333,3.48630000,4.25001697,4.10560000,3.23608658,1.60992143,1.04000000,0.97253214,1.58977647,0.62469706
2016-12-31,5701.59810000,816.92726154,927.26818333,1590.53140000,821.48867500,977.06917143,472.85460833,294.98720000,0,0,385.99422222,304.60045000,245.43224375,0,287.99780000,30.92498675,171.47006296,251.46790000,94.17526818,70.16857143,119.81065000,1.92820000,0,2.35898750,35.16286923,14.57162959,0,94.71877333,10.83076667,12.53390977,5.37642672,12.54733000,7.65398333,5.54029389,8.63170000,3.90283532,0,0,0.97299286,1.07970833,0.01479003
2017-01-01,0,7.11888750,144.95893500,0,0,667.69662857,353.78483333,0,3.46670000,0,198.70750000,62.83500370,104.22445106,0,60.55280000,0,59.99212000,21.40560000,68.79178571,5.71665000,141.00408571,0,0,25.37237088,8.24474400,35.25860000,0,185.80670000,13.34548511,11.50595298,16.76614975,6.26263885,0,0,0,0.60771390,0,0,0.96969286,0.02809516,0
---------
