title
"CPU Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Thrush, Hermit] CPU Hours: Per Job","[Scaup, Lesser] CPU Hours: Per Job","[Fieldfare] CPU Hours: Per Job","[Smew] CPU Hours: Per Job","[Nuthatch] CPU Hours: Per Job","[Bunting, Ortolan] CPU Hours: Per Job","[White, Great] CPU Hours: Per Job","[Warbler, Savi's] CPU Hours: Per Job","[Gull, Yellow-legged] CPU Hours: Per Job","[Dotterel] CPU Hours: Per Job","[Accentor, Alpine] CPU Hours: Per Job","[Chaffinch] CPU Hours: Per Job","[Bluetail, Red-flanked] CPU Hours: Per Job","[Warbler, Blackpoll] CPU Hours: Per Job","[Kestrel, Lesser] CPU Hours: Per Job","[Shearwater, Balearic] CPU Hours: Per Job","[Jackdaw] CPU Hours: Per Job","[Swift, Little] CPU Hours: Per Job","[Warbler, Hooded] CPU Hours: Per Job","[Martin, Sand] CPU Hours: Per Job","[Fulmar] CPU Hours: Per Job","[Petrel, Fea's] CPU Hours: Per Job","[Gull, Glaucous-winged] CPU Hours: Per Job","[Egret, Snowy] CPU Hours: Per Job","[Goose, Red-breasted] CPU Hours: Per Job","[Chiffchaff, Iberian] CPU Hours: Per Job","[Shearwater, Great] CPU Hours: Per Job","[Tern, Caspian] CPU Hours: Per Job","[Bufflehead] CPU Hours: Per Job","[Moorhen] CPU Hours: Per Job","[Lark, Calandra] CPU Hours: Per Job","[Dunlin] CPU Hours: Per Job","[Spotted, Great] CPU Hours: Per Job","[Shearwater, Macaronesian] CPU Hours: Per Job","[Harrier, Hen] CPU Hours: Per Job","[Flycatcher, Taiga] CPU Hours: Per Job","[Blackbird] CPU Hours: Per Job","[Yellowthroat, Common] CPU Hours: Per Job","[Dowitcher, Short-billed] CPU Hours: Per Job","[Bittern] CPU Hours: Per Job","[Warbler, Cetti's] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,200.95638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.29972222,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60361111,0,0,287.99944444,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,287.99944444,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,287.99972222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,116.56729167,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,287.99972222,43.26650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,431.99895833,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,0,1246.46629630,0,0,0,1487.81416667,0,0,0,0,265.59069444,383.99866667,0,0,1432.93074074,0,0,0,0,111.72222222,238.86583333,0,0,0,0,4.72138889,79.45680556,0,0,163.83952381,0,0,0,0,3.21666667,0,0,0,0,0
2016-12-28,0,3274.15083333,1462.12201852,0,0,0,1170.66861111,0,0,94.01055556,0,911.99805556,144.42060764,60.47629630,37.38382716,548.99467593,0,0,70.31822222,0,141.10611111,287.99888889,0,0,0,0,24.00000000,323.99902778,13.35263039,5.01594591,497.73938889,0,0,0,0,24.00000000,0,0,0,0,0
2016-12-29,0,4394.64972222,2154.61397343,831.60194444,410.96965278,611.48129630,1116.59368056,758.98472222,1038.19027778,479.99722222,0,911.99805556,382.20287500,287.99814815,287.99817901,481.65978889,46.91666667,0,84.37104167,52.00361111,35.54740143,287.99888889,0,0,0,7.24000000,24.00000000,107.02914352,16.60265721,13.10744068,291.44702675,0,0,0,2.01961111,7.00415148,0,0,0,0,107.90750000
2016-12-30,2468.12509259,3044.45527778,1678.33820437,1568.46500000,1151.41083333,765.75111111,691.69785714,480.00180556,402.83194444,386.12555556,0,911.99805556,302.76559722,181.16333333,174.64191919,82.82881366,107.24654701,21.99777778,109.61238426,68.03250000,31.01062908,13.26457407,28.14000000,0,16.32947222,142.16243056,19.28583333,7.46167417,21.71941909,13.31263082,4.35340316,5.80186420,3.48631944,4.25001700,4.10559722,3.23608659,1.60992063,1.04000000,0.97252976,1.58977533,0.62469706
2016-12-31,5701.59805556,816.92726496,927.26818287,1590.53138889,821.48868056,977.06916667,472.85460648,294.98722222,0,0,385.99422840,304.60046296,245.43224537,0,287.99777778,30.92498661,171.47006173,251.46791667,94.17526515,70.16857143,119.81064815,1.92819444,0,2.35899306,35.16287393,14.57162982,0,94.71877778,10.83076688,12.53390976,5.37642670,12.54733333,7.65398148,5.54029391,8.63166667,3.90283532,0,0,0.97299603,1.07971065,0.01479010
2017-01-01,0,7.11888889,144.95893056,0,0,667.69662698,353.78484568,0,3.46666667,0,198.70750000,62.83500000,104.22445035,0,60.55277778,0,59.99211111,21.40555556,68.79178571,5.71666667,141.00408730,0,0,25.37237072,8.24474444,35.25861111,0,185.80666667,13.34548463,11.50595307,16.76614981,6.26263789,0,0,0,0.60771391,0,0,0.96969246,0.02809588,0
---------
