title
"Node Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Thrush, Hermit] Node Hours: Per Job","[Scaup, Lesser] Node Hours: Per Job","[Fieldfare] Node Hours: Per Job","[Smew] Node Hours: Per Job","[Bunting, Ortolan] Node Hours: Per Job","[Gull, Yellow-legged] Node Hours: Per Job","[White, Great] Node Hours: Per Job","[Nuthatch] Node Hours: Per Job","[Chaffinch] Node Hours: Per Job","[Accentor, Alpine] Node Hours: Per Job","[Warbler, Savi's] Node Hours: Per Job","[Shearwater, Great] Node Hours: Per Job","[Bluetail, Red-flanked] Node Hours: Per Job","[Dotterel] Node Hours: Per Job","[Bufflehead] Node Hours: Per Job","[Warbler, Blackpoll] Node Hours: Per Job","[Kestrel, Lesser] Node Hours: Per Job","[Moorhen] Node Hours: Per Job","[Petrel, Fea's] Node Hours: Per Job","[Warbler, Hooded] Node Hours: Per Job","[Shearwater, Balearic] Node Hours: Per Job","[Jackdaw] Node Hours: Per Job","[Fulmar] Node Hours: Per Job","[Swift, Little] Node Hours: Per Job","[Chiffchaff, Iberian] Node Hours: Per Job","[Martin, Sand] Node Hours: Per Job","[Spotted, Great] Node Hours: Per Job","[Shearwater, Macaronesian] Node Hours: Per Job","[Harrier, Hen] Node Hours: Per Job","[Gull, Glaucous-winged] Node Hours: Per Job","[Egret, Snowy] Node Hours: Per Job","[Goose, Red-breasted] Node Hours: Per Job","[Tern, Caspian] Node Hours: Per Job","[Dowitcher, Short-billed] Node Hours: Per Job","[Bittern] Node Hours: Per Job","[Lark, Calandra] Node Hours: Per Job","[Dunlin] Node Hours: Per Job","[Flycatcher, Taiga] Node Hours: Per Job","[Warbler, Cetti's] Node Hours: Per Job","[Blackbird] Node Hours: Per Job","[Yellowthroat, Common] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,16.74640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94170000,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60360000,0,0,24.00000000,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,24.00000000,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,8.12695000,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,24.00000000,0,0,0,2.70416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,24.00000000,0,0,0,0,0
2016-12-27,0,0,103.87223333,0,0,0,123.98440000,0,27.19890000,0,0,4.72140000,23.99988000,0,0,0,0,0,19.90560000,0,110.37150000,0,13.96528000,0,0,0,0,0,0,0,0,0,8.71606667,0,0,8.23637143,0,3.21670000,0,0,0
2016-12-28,0,204.63442222,121.84350000,0,0,0,110.33375000,0,107.99970000,0,0,24.00000000,9.02628750,4.70060000,13.35263061,5.03973333,3.11531111,5.01594579,24.00000000,8.78978000,41.89027500,0,17.63828000,0,0,0,0,0,0,0,0,0,23.99995000,0,0,23.06955500,0,24.00000000,0,0,0
2016-12-29,0,274.66561111,180.43761739,69.30015714,50.95676667,129.77390000,105.04942500,25.68555000,107.99970000,0,37.94920000,24.00000000,23.88768000,24.00000000,16.60265745,23.99980000,23.99984444,13.10744063,24.00000000,10.54638750,33.92876800,4.34449091,7.73167258,0,3.62000000,10.40080000,0,0,2.01960000,0,0,0,8.69363750,0,0,17.28525000,0,1.17884102,26.97690000,0,0
2016-12-30,205.67710000,190.40380000,141.05805000,130.70544286,63.81260000,50.35390000,64.49855714,71.96318750,107.99970000,0,24.00015000,19.28580000,18.92284500,19.30640000,21.71941905,15.09693333,14.55349091,13.31263076,11.72417333,13.41644583,5.43141771,9.68355077,7.32503235,2.52583333,16.84687500,13.60640000,3.48630000,4.25001697,4.10560000,2.34500000,0,1.36229000,0.89853892,0.97253214,1.58977647,0.37156320,0.56943000,0.34371651,0.17419153,0.08050000,0.06500000
2016-12-31,475.13310000,53.59521538,77.97830417,132.54420000,81.42241429,0,40.94744167,51.34305000,36.07505000,33.22222222,14.74940000,0,23.17908958,0,10.83076667,0,23.99970000,12.53390977,1.92820000,10.97795000,1.97841325,15.93168519,14.97631667,21.37180000,7.28581633,6.47384286,7.65398333,5.54029389,8.63170000,0,0.19659375,2.93023462,6.74696000,0.97299286,1.07970833,0.59342226,1.04562000,0.38194607,0.01479003,0,0
2017-01-01,0,0.88986250,11.66001000,0,55.64138571,0.43330000,29.48207778,0,7.49301111,17.76760000,0,0,11.20868936,0,13.34548511,0,5.04610000,11.50595298,0,8.59896429,0,6.53140000,17.62551429,4.28110000,17.62940000,0.47635000,0,0,0,0,2.11436410,0.68706400,11.62490000,0.96969286,0.02809516,1.61532687,0.63905971,0.06690848,0,0,0
---------
