title
"Node Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Thrush, Hermit] Node Hours: Per Job","[Scaup, Lesser] Node Hours: Per Job","[Fieldfare] Node Hours: Per Job","[Smew] Node Hours: Per Job","[Bunting, Ortolan] Node Hours: Per Job","[Gull, Yellow-legged] Node Hours: Per Job","[White, Great] Node Hours: Per Job","[Nuthatch] Node Hours: Per Job","[Chaffinch] Node Hours: Per Job","[Accentor, Alpine] Node Hours: Per Job","[Warbler, Savi's] Node Hours: Per Job","[Shearwater, Great] Node Hours: Per Job","[Bluetail, Red-flanked] Node Hours: Per Job","[Dotterel] Node Hours: Per Job","[Bufflehead] Node Hours: Per Job","[Warbler, Blackpoll] Node Hours: Per Job","[Kestrel, Lesser] Node Hours: Per Job","[Moorhen] Node Hours: Per Job","[Petrel, Fea's] Node Hours: Per Job","[Warbler, Hooded] Node Hours: Per Job","[Shearwater, Balearic] Node Hours: Per Job","[Jackdaw] Node Hours: Per Job","[Fulmar] Node Hours: Per Job","[Swift, Little] Node Hours: Per Job","[Chiffchaff, Iberian] Node Hours: Per Job","[Martin, Sand] Node Hours: Per Job","[Spotted, Great] Node Hours: Per Job","[Shearwater, Macaronesian] Node Hours: Per Job","[Harrier, Hen] Node Hours: Per Job","[Gull, Glaucous-winged] Node Hours: Per Job","[Egret, Snowy] Node Hours: Per Job","[Goose, Red-breasted] Node Hours: Per Job","[Tern, Caspian] Node Hours: Per Job","[Dowitcher, Short-billed] Node Hours: Per Job","[Bittern] Node Hours: Per Job","[Lark, Calandra] Node Hours: Per Job","[Dunlin] Node Hours: Per Job","[Flycatcher, Taiga] Node Hours: Per Job","[Warbler, Cetti's] Node Hours: Per Job","[Blackbird] Node Hours: Per Job","[Yellowthroat, Common] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,16.74638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94166667,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60361111,0,0,24.00000000,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,24.00000000,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,8.12694444,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,24.00000000,0,0,0,2.70416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,24.00000000,0,0,0,0,0
2016-12-27,0,0,103.87222222,0,0,0,123.98444444,0,27.19888889,0,0,4.72138889,23.99988889,0,0,0,0,0,19.90555556,0,110.37148148,0,13.96527778,0,0,0,0,0,0,0,0,0,8.71606481,0,0,8.23636905,0,3.21666667,0,0,0
2016-12-28,0,204.63441358,121.84350000,0,0,0,110.33375000,0,107.99972222,0,0,24.00000000,9.02628472,4.70055556,13.35263039,5.03972222,3.11530864,5.01594591,24.00000000,8.78977778,41.89027778,0,17.63827778,0,0,0,0,0,0,0,0,0,23.99995370,0,0,23.06955556,0,24.00000000,0,0,0
2016-12-29,0,274.66561728,180.43762077,69.30015873,50.95675926,129.77388889,105.04944444,25.68555556,107.99972222,0,37.94916667,24.00000000,23.88768056,24.00000000,16.60265721,23.99981481,23.99984568,13.10744068,24.00000000,10.54638889,33.92876667,4.34449495,7.73167115,0,3.62000000,10.40083333,0,0,2.01961111,0,0,0,8.69363426,0,0,17.28525206,0,1.17884115,26.97694444,0,0
2016-12-30,205.67712963,190.40380342,141.05805556,130.70543651,63.81260417,50.35388889,64.49857143,71.96319444,107.99972222,0,24.00013889,19.28583333,18.92284722,19.30638889,21.71941909,15.09694444,14.55348485,13.31263082,11.72416667,13.41644676,5.43141782,9.68355128,7.32503268,2.52583333,16.84687500,13.60638889,3.48631944,4.25001700,4.10559722,2.34500000,0,1.36229167,0.89853904,0.97252976,1.58977533,0.37156323,0.56942901,0.34371651,0.17419150,0.08049603,0.06500000
2016-12-31,475.13305556,53.59521368,77.97829861,132.54416667,81.42242063,0,40.94745370,51.34305556,36.07504630,33.22222222,14.74944444,0,23.17909144,0,10.83076688,0,23.99972222,12.53390976,1.92819444,10.97795455,1.97841365,15.93168724,14.97631944,21.37180556,7.28581633,6.47384921,7.65398148,5.54029391,8.63166667,0,0.19659722,2.93023504,6.74696296,0.97299603,1.07971065,0.59342224,1.04561111,0.38194607,0.01479010,0,0
2017-01-01,0,0.88986111,11.66001389,0,55.64138889,0.43333333,29.48206790,0,7.49301440,17.76759259,0,0,11.20868794,0,13.34548463,0,5.04611111,11.50595307,0,8.59896825,0,6.53138889,17.62551587,4.28111111,17.62944444,0.47638889,0,0,0,0,2.11436392,0.68706667,11.62486111,0.96969246,0.02809588,1.61532615,0.63905875,0.06690847,0,0,0
---------
