title
"Wait Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
PI,"Wait Hours: Per Job","Std Dev: Wait Hours: Per Job"
"Tern, Caspian",214.25581979,2.052993133300406
Fulmar,71.34538472,15.241596218036447
"Warbler, Savi's",52.74115000,37.29241880267786
Fieldfare,44.54427500,7.275316793106799
"Shearwater, Balearic",35.12637397,1.715055012550036
"Gull, Yellow-legged",31.02180000,3.7428536858056263
"Chiffchaff, Iberian",26.77900396,0.30931367129928466
Dunlin,12.67979874,0.790292910753799
"White, Great",9.21499500,3.969182902630604
"Petrel, Fea's",8.19083333,2.9697909176657884
"Thrush, Hermit",6.67770000,0.98851049021015
"Egret, Snowy",5.36508915,0.16785146849699545
Jackdaw,4.87037273,0.4474738116075898
"Kestrel, Lesser",4.41189091,0.6571458545780616
"Shearwater, Macaronesian",3.92752470,0.08635320372070841
"Warbler, Blackpoll",3.72480000,0.0007211928415468717
"Accentor, Alpine",2.15222222,0.6988290975119311
"Flycatcher, Taiga",2.05341236,0.026649201797782615
Smew,1.98928571,0.9136179906052263
"Bunting, Ortolan",1.88463125,0.5086144929601321
"Warbler, Cetti's",0.74204508,0.007451042072537693
"Bluetail, Red-flanked",0.68931698,0.18792064181649995
"Harrier, Hen",0.32390500,0.2312398274998169
"Goose, Red-breasted",0.29952754,0.12719098377944033
"Warbler, Hooded",0.20924324,0.04281469020992289
Moorhen,0.20714968,0.015675479418422043
"Gull, Glaucous-winged",0.09780000,0
Bittern,0.08220325,0.011574714004551338
"Lark, Calandra",0.06381907,0.014079147600380438
Bufflehead,0.05740357,0.004593062258338074
"Swift, Little",0.04035000,0.034861577990454876
Chaffinch,0.03987742,0.015476567200768683
"Martin, Sand",0.01748000,0.00747562396751627
"Spotted, Great",0.01408000,0.0026920235401535287
Blackbird,0.00105000,0.00005735857833479565
Nuthatch,0.00058750,0.000142636082683637
Dotterel,0.00030000,0
"Scaup, Lesser",0.00017200,0.00003513641844631532
"Dowitcher, Short-billed",0.00012619,0.000016471282949086855
"Shearwater, Great",0.00000000,0
"Yellowthroat, Common",0.00000000,0
---------
