title
"Wall Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Shearwater, Great] Wall Hours: Per Job","[Bluetail, Red-flanked] Wall Hours: Per Job","[Bufflehead] Wall Hours: Per Job","[Dotterel] Wall Hours: Per Job","[Warbler, Blackpoll] Wall Hours: Per Job","[Kestrel, Lesser] Wall Hours: Per Job","[Fieldfare] Wall Hours: Per Job","[Smew] Wall Hours: Per Job","[Scaup, Lesser] Wall Hours: Per Job","[Accentor, Alpine] Wall Hours: Per Job","[Moorhen] Wall Hours: Per Job","[Warbler, Savi's] Wall Hours: Per Job","[Warbler, Hooded] Wall Hours: Per Job","[Fulmar] Wall Hours: Per Job","[White, Great] Wall Hours: Per Job","[Jackdaw] Wall Hours: Per Job","[Petrel, Fea's] Wall Hours: Per Job","[Nuthatch] Wall Hours: Per Job","[Thrush, Hermit] Wall Hours: Per Job","[Chaffinch] Wall Hours: Per Job","[Bunting, Ortolan] Wall Hours: Per Job","[Shearwater, Macaronesian] Wall Hours: Per Job","[Chiffchaff, Iberian] Wall Hours: Per Job","[Shearwater, Balearic] Wall Hours: Per Job","[Martin, Sand] Wall Hours: Per Job","[Spotted, Great] Wall Hours: Per Job","[Harrier, Hen] Wall Hours: Per Job","[Swift, Little] Wall Hours: Per Job","[Gull, Yellow-legged] Wall Hours: Per Job","[Egret, Snowy] Wall Hours: Per Job","[Tern, Caspian] Wall Hours: Per Job","[Dowitcher, Short-billed] Wall Hours: Per Job","[Bittern] Wall Hours: Per Job","[Goose, Red-breasted] Wall Hours: Per Job","[Lark, Calandra] Wall Hours: Per Job","[Flycatcher, Taiga] Wall Hours: Per Job","[Gull, Glaucous-winged] Wall Hours: Per Job","[Dunlin] Wall Hours: Per Job","[Blackbird] Wall Hours: Per Job","[Yellowthroat, Common] Wall Hours: Per Job","[Warbler, Cetti's] Wall Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94166667,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,8.60361111,0,0,0,24.00000000,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,24.00000000,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,8.12694444,0,0,0,0,0,0
2016-12-26,0,2.70416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,24.00000000,0,0,0,0,0,0
2016-12-27,4.72138889,23.99988889,0,0,0,0,12.98398148,0,0,0,0,0,0,13.96527778,20.66416667,0,19.90555556,0,0,13.89986111,0,0,0,20.49694444,0,0,0,0,0,0,8.71606481,0,0,0,8.23636905,3.21666667,0,0,0,0,0
2016-12-28,24.00000000,9.02628472,13.35263039,4.70055556,5.03972222,3.11530864,15.23044444,0,17.86314815,0,5.01594591,0,8.78977778,17.63827778,18.38902778,0,24.00000000,0,0,24.00000000,0,0,0,14.10148148,0,0,0,0,0,0,23.99995370,0,0,0,19.32133333,24.00000000,0,0,0,0,0
2016-12-29,24.00000000,23.88768056,16.60265721,24.00000000,23.99981481,23.99984568,23.40085749,11.55003968,23.99990741,0,13.10744068,18.97472222,10.54638889,7.73167115,18.60993056,4.34449495,24.00000000,3.66930556,0,24.00000000,6.36962963,0,3.62000000,14.25413333,10.40083333,0,2.01961111,0,6.48861111,0,7.81500000,0,0,0,11.06285494,1.17884115,0,0,0,0,1.92694444
2016-12-30,19.28583333,18.92284722,21.71941909,19.30638889,15.09694444,14.55348485,18.93424603,21.78424603,16.65658120,0,13.31263082,12.00027778,13.41644676,7.32462418,11.90380952,9.68355128,11.72416667,10.28048611,9.78111111,24.00000000,7.97656250,4.25001700,16.84687500,4.10729745,13.60638889,3.48631944,4.10559722,1.45509259,2.51777778,0,0.80124249,0.97252976,1.58977533,0.48461111,0.27513986,0.34371651,0.26055556,0.14245370,0.08049603,0.06500000,0.03474935
2016-12-31,0,23.17909144,10.83076688,0,0,23.99972222,11.12500000,22.09083333,4.88602564,16.61111111,12.53390976,7.37472222,10.97795455,14.97631944,8.30273148,15.93168724,1.92819444,7.33472222,16.96916667,8.03958333,10.17781746,5.54029391,7.28581633,1.97841365,6.47384921,7.65398148,8.63166667,4.84513889,0,0.19659722,5.00550000,0.97299603,1.07971065,1.49564103,0.32450112,0.38194607,0,0.14844444,0,0,0.01479010
2017-01-01,0,11.20868794,13.34548463,0,0,5.04611111,3.01463889,0,0.22246528,8.88379630,11.50595307,0,8.59896825,17.62551587,6.25089506,6.53138889,0,0,0,2.25397119,6.95515873,0,17.62944444,0,0.47638889,0,0,4.28111111,0.02166667,2.11436392,11.62486111,0.96969246,0.02809588,0.30831111,1.46438640,0.06690847,0,0.22250400,0,0,0
---------
