title
"Wall Hours: Per Job: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
PI,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
"Shearwater, Great",72.00690000,0
"Bluetail, Red-flanked",52.33125283,0
Bufflehead,49.85089578,1.1100556984971628
Dotterel,48.00670000,0
"Warbler, Blackpoll",44.13646667,3.886377717302869
"Kestrel, Lesser",39.37916364,3.507453886399556
Fieldfare,37.79727273,4.7120520274172675
Smew,36.49008571,2.4079164021948176
"Scaup, Lesser",26.34404400,6.8507338965077675
"Accentor, Alpine",25.49491111,0
Moorhen,25.48654256,0.09521333842934561
"Warbler, Savi's",25.17490000,17.80092216999551
"Warbler, Hooded",24.23206216,3.0463945000340433
Fulmar,21.20474167,2.5191386391895545
"White, Great",18.55493500,4.5780588058149325
Jackdaw,17.27322576,1.2812589265726986
"Petrel, Fea's",16.76537333,3.9113055556030742
Nuthatch,15.78248750,1.4182317241819407
"Thrush, Hermit",15.43750000,9.334819660458281
Chaffinch,12.69807097,7.901760816672609
"Bunting, Ortolan",12.67826250,0.4307670195515926
"Shearwater, Macaronesian",8.59051570,0.027937647321332644
"Chiffchaff, Iberian",7.94699604,0.4591918062663623
"Shearwater, Balearic",7.84637603,1.3319104362573684
"Martin, Sand",7.02768000,2.431694700689441
"Spotted, Great",5.98691000,0.9781127830854603
"Harrier, Hen",5.04208500,1.9381499596292342
"Swift, Little",4.58417500,1.606624250847252
"Gull, Yellow-legged",4.51405000,3.1765790052054
"Egret, Snowy",2.10733770,0.047308522370844736
"Tern, Caspian",1.61309712,0.3572919324297724
"Dowitcher, Short-billed",0.97173929,0.00025764463006399947
Bittern,0.88155649,0.09909785167735996
"Goose, Red-breasted",0.81574783,0.3390015672560407
"Lark, Calandra",0.55186617,0.054813464144809046
"Flycatcher, Taiga",0.29997993,0.004607253283466065
"Gull, Glaucous-winged",0.26060000,0
Dunlin,0.18926151,0.027954377835160745
Blackbird,0.08050000,0.022331879009996003
"Yellowthroat, Common",0.06500000,0
"Warbler, Cetti's",0.02840870,0.0076611737777213555
---------
