title
"CPU Hours: Total: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Flycatcher, Taiga] CPU Hours: Total","[Fieldfare] CPU Hours: Total","[Scaup, Lesser] CPU Hours: Total","[Lark, Calandra] CPU Hours: Total","[Moorhen] CPU Hours: Total","[Bluetail, Red-flanked] CPU Hours: Total","[Shearwater, Balearic] CPU Hours: Total","[White, Great] CPU Hours: Total","[Bunting, Ortolan] CPU Hours: Total","[Egret, Snowy] CPU Hours: Total","[Smew] CPU Hours: Total","[Bufflehead] CPU Hours: Total","[Nuthatch] CPU Hours: Total","[Tern, Caspian] CPU Hours: Total","[Thrush, Hermit] CPU Hours: Total","[Jackdaw] CPU Hours: Total","[Chaffinch] CPU Hours: Total","[Fulmar] CPU Hours: Total","[Shearwater, Macaronesian] CPU Hours: Total","[Warbler, Hooded] CPU Hours: Total","[Accentor, Alpine] CPU Hours: Total","[Kestrel, Lesser] CPU Hours: Total","[Chiffchaff, Iberian] CPU Hours: Total","[Warbler, Savi's] CPU Hours: Total","[Warbler, Blackpoll] CPU Hours: Total","[Dunlin] CPU Hours: Total","[Goose, Red-breasted] CPU Hours: Total","[Gull, Yellow-legged] CPU Hours: Total","[Warbler, Cetti's] CPU Hours: Total","[Petrel, Fea's] CPU Hours: Total","[Dotterel] CPU Hours: Total","[Martin, Sand] CPU Hours: Total","[Swift, Little] CPU Hours: Total","[Bittern] CPU Hours: Total","[Harrier, Hen] CPU Hours: Total","[Dowitcher, Short-billed] CPU Hours: Total","[Shearwater, Great] CPU Hours: Total","[Spotted, Great] CPU Hours: Total","[Gull, Glaucous-winged] CPU Hours: Total","[Blackbird] CPU Hours: Total","[Yellowthroat, Common] CPU Hours: Total"
2016-12-22,0,0,0,203.2997,0,0,0,0,0,0,0,0,0,0,0,0,200.9564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,287.9994,0,0,0,0,0,0,0,0,0,8.6036,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,287.9994,0,0,0,0,0,0,0,0,0,24.0000,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,466.2692,0,0,0,0,0,0,0,0,0,24.0000,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,1727.9958,0,216.3325,0,0,0,0,0,0,0,24.0000,0,0,287.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,3.2167,3739.3989,0,2293.7533,0,1919.9933,4298.7922,1487.8142,0,0,0,0,0,476.7408,0,0,531.1814,558.6111,0,0,0,0,0,0,0,0,0,0,0,238.8658,0,0,0,0,0,0,4.7214,0,0,0,0
2016-12-28,24.0000,21931.8303,29467.3575,9954.7878,953.0297,2310.7297,6587.9361,2341.3372,0,0,0,1962.8367,0,1943.9942,0,0,1823.9961,1411.0611,0,351.5911,0,336.4544,0,0,181.4289,0,0,0,0,287.9989,94.0106,0,0,0,0,0,24.0000,0,0,0,0
2016-12-29,1793.0628,49556.1214,39551.8475,15738.1394,12583.1431,7644.0575,12041.4947,4466.3747,1834.4439,0,5821.2136,3901.6244,1643.8786,2568.6994,0,516.0833,1823.9961,2203.9389,0,1349.9367,0,2591.9836,7.2400,758.9847,863.9944,0,0,1038.1903,107.9075,287.9989,479.9972,52.0036,0,0,10.0981,0,24.0000,0,0,0,0
2016-12-30,62498.5403,46993.4697,39577.9186,16799.7828,21766.1514,6055.3119,7951.5661,4841.8850,6126.0089,0,10979.2550,5473.2936,9211.2867,5521.6389,7404.3753,6971.0256,1823.9961,2108.7228,3055.7622,2630.6972,0,1921.0611,568.6497,960.0036,543.4900,522.1678,326.5894,402.8319,1061.9850,198.9686,386.1256,68.0325,65.9933,108.1047,82.1119,27.2308,19.2858,13.9453,28.1400,22.5389,1.0400
2016-12-31,87876.2400,22254.4364,10620.0544,14731.4092,20518.0103,11780.7478,2566.7739,5674.2553,6839.4842,37.7439,1590.5314,2761.8456,3285.9547,2841.5633,5701.5981,4629.6917,1827.6028,1437.7278,5534.7536,2071.8558,3473.9481,287.9978,1428.0197,294.9872,0,125.4733,914.2347,0,13.7992,7.7128,0,491.1800,502.9358,25.9131,8.6317,27.2439,0,45.9239,0,0,0
2017-01-01,8466.0625,2899.1786,56.9511,6739.9922,11183.7864,4898.5492,0,3184.0636,4673.8764,19080.0228,0,1254.4756,0,371.6133,0,299.9606,1696.5450,987.0286,0,963.0850,1788.3675,60.5528,35.2586,0,0,870.5067,206.1186,3.4667,0,0,0,11.4333,21.4056,1.7419,0,27.1514,0,0,0,0,0
---------
