title
"Node Hours: Total: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Moorhen] Node Hours: Total","[Flycatcher, Taiga] Node Hours: Total","[Bufflehead] Node Hours: Total","[Fieldfare] Node Hours: Total","[Shearwater, Macaronesian] Node Hours: Total","[Scaup, Lesser] Node Hours: Total","[Lark, Calandra] Node Hours: Total","[Bluetail, Red-flanked] Node Hours: Total","[Shearwater, Balearic] Node Hours: Total","[White, Great] Node Hours: Total","[Bunting, Ortolan] Node Hours: Total","[Egret, Snowy] Node Hours: Total","[Smew] Node Hours: Total","[Fulmar] Node Hours: Total","[Tern, Caspian] Node Hours: Total","[Chaffinch] Node Hours: Total","[Jackdaw] Node Hours: Total","[Thrush, Hermit] Node Hours: Total","[Warbler, Hooded] Node Hours: Total","[Nuthatch] Node Hours: Total","[Chiffchaff, Iberian] Node Hours: Total","[Accentor, Alpine] Node Hours: Total","[Kestrel, Lesser] Node Hours: Total","[Warbler, Cetti's] Node Hours: Total","[Petrel, Fea's] Node Hours: Total","[Gull, Yellow-legged] Node Hours: Total","[Dunlin] Node Hours: Total","[Bittern] Node Hours: Total","[Warbler, Blackpoll] Node Hours: Total","[Goose, Red-breasted] Node Hours: Total","[Harrier, Hen] Node Hours: Total","[Warbler, Savi's] Node Hours: Total","[Dowitcher, Short-billed] Node Hours: Total","[Shearwater, Great] Node Hours: Total","[Martin, Sand] Node Hours: Total","[Spotted, Great] Node Hours: Total","[Swift, Little] Node Hours: Total","[Dotterel] Node Hours: Total","[Gull, Glaucous-winged] Node Hours: Total","[Blackbird] Node Hours: Total","[Yellowthroat, Common] Node Hours: Total"
2016-12-22,0,0,0,0,0,0,16.9417,0,0,0,0,0,0,0,0,16.7464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,8.6036,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,24.0000,0,0,0,0,0,0,0,24.0000,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,32.5078,0,0,0,0,0,0,0,24.0000,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,96.0000,13.5208,0,0,0,0,0,0,24.0000,24.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,3.2167,0,311.6167,0,0,115.3092,119.9994,331.1144,123.9844,0,0,0,69.8264,52.2964,54.3978,0,0,0,0,0,0,0,0,19.9056,0,0,0,0,0,0,0,0,4.7214,0,0,0,0,0,0,0
2016-12-28,953.0297,24.0000,1962.8367,1827.6525,0,1841.7097,461.3911,144.4206,502.6833,220.6675,0,0,0,176.3828,143.9997,215.9994,0,0,43.9489,0,0,0,28.0378,0,24.0000,0,0,0,15.1192,0,0,0,0,24.0000,0,0,0,4.7006,0,0,0
2016-12-29,12583.1431,301.7833,3901.6244,4150.0653,0,2471.9906,933.4036,477.7536,848.2192,420.1978,152.8703,0,485.1011,479.3636,208.6472,215.9994,47.7894,0,168.7422,102.7422,3.6200,0,215.9986,26.9769,24.0000,129.7739,0,0,71.9994,0,10.0981,37.9492,0,24.0000,10.4008,0,0,24.0000,0,0,0
2016-12-30,21766.1514,6638.1969,5473.2936,3949.6256,3055.7622,2475.2494,1433.8625,378.4569,521.4161,451.4900,510.5008,0,914.9381,498.1022,664.9189,215.9994,629.4308,617.0314,321.9947,575.7056,67.3875,0,160.0883,296.1256,175.8625,50.3539,51.2486,108.1047,45.2908,27.2458,82.1119,48.0003,27.2308,19.2858,13.6064,13.9453,7.5775,19.3064,2.3450,1.1269,0.0650
2016-12-31,20518.0103,8599.8978,2761.8456,1871.4792,5534.7536,696.7378,1625.9769,1112.5964,164.2083,491.3694,569.9569,3.1456,132.5442,179.7158,202.4089,216.4503,430.1556,475.1331,241.5150,205.3722,714.0100,299.0000,23.9997,13.7992,7.7128,0,10.4561,25.9131,0,76.1861,8.6317,14.7494,27.2439,0,45.3169,45.9239,42.7436,0,0,0,0
2017-01-01,11183.7864,932.1019,1254.4756,233.2003,0,7.1189,649.3611,526.8083,0,265.3386,389.4897,1590.0017,0,123.3786,23.2497,202.3114,32.6569,0,120.3856,0,17.6294,159.9083,5.0461,0,0,0.4333,88.8292,1.7419,0,17.1767,0,0,27.1514,0,0.9528,0,4.2811,0,0,0,0
---------
