title
"Wall Hours: Total: by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
PI,"Wall Hours: Total"
Moorhen,67004.1208
"Flycatcher, Taiga",16499.1967
Bufflehead,15354.0758
"Shearwater, Macaronesian",8590.5158
"Lark, Calandra",3832.1606
"Bluetail, Red-flanked",2773.5561
Fieldfare,1663.0800
"Egret, Snowy",1593.1472
Fulmar,1526.7417
"Tern, Caspian",1230.7939
"Shearwater, Balearic",1145.5708
Jackdaw,1140.0328
"Warbler, Hooded",896.5864
"Chiffchaff, Iberian",802.6469
"Scaup, Lesser",658.6011
"Kestrel, Lesser",433.1706
Chaffinch,393.6408
"White, Great",371.0994
Smew,255.4308
"Petrel, Fea's",251.4808
"Accentor, Alpine",229.4542
"Bunting, Ortolan",202.8522
Bittern,135.7597
"Warbler, Blackpoll",132.4094
Nuthatch,126.2600
"Harrier, Hen",100.8417
"Dowitcher, Short-billed",81.6261
"Warbler, Cetti's",74.8000
"Shearwater, Great",72.0072
"Martin, Sand",70.2769
"Spotted, Great",59.8692
"Goose, Red-breasted",56.2867
"Warbler, Savi's",50.3500
Dotterel,48.0069
"Thrush, Hermit",46.3125
Dunlin,45.2333
"Swift, Little",18.3367
"Gull, Yellow-legged",9.0281
Blackbird,1.1269
"Gull, Glaucous-winged",0.2606
"Yellowthroat, Common",0.0650
---------
