title
"Screwdriver Utilization (%): by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
PI,"Screwdriver Utilization (%)"
Fieldfare,6.977956217
Moorhen,6.345087178
"Scaup, Lesser",5.647449295
"Bluetail, Red-flanked",3.297890322
"Flycatcher, Taiga",3.042824282
"Lark, Calandra",2.185335483
"White, Great",2.082928987
"Bunting, Ortolan",1.844111117
Smew,1.741571970
Bufflehead,1.453984460
Nuthatch,1.339121212
"Thrush, Hermit",1.241095966
"Shearwater, Balearic",1.055762721
Chaffinch,1.030328854
"Egret, Snowy",0.905197287
Fulmar,0.824535057
"Shearwater, Macaronesian",0.813495814
"Warbler, Hooded",0.697648267
Jackdaw,0.587914834
"Accentor, Alpine",0.498325331
"Kestrel, Lesser",0.492239555
"Tern, Caspian",0.435759261
"Warbler, Blackpoll",0.150465275
Dunlin,0.143763996
"Goose, Red-breasted",0.137021089
"Gull, Yellow-legged",0.136788722
"Warbler, Cetti's",0.112092008
"Petrel, Fea's",0.096737225
"Chiffchaff, Iberian",0.096551515
"Warbler, Savi's",0.095358688
Dotterel,0.090921723
"Martin, Sand",0.058963011
"Swift, Little",0.055902907
Bittern,0.012856032
"Harrier, Hen",0.009549403
"Dowitcher, Short-billed",0.007729744
"Shearwater, Great",0.006818864
"Spotted, Great",0.005669422
"Gull, Glaucous-winged",0.002664773
Blackbird,0.002134366
"Yellowthroat, Common",0.000098485
---------
