title
"Screwdriver Utilization (%): by PI"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[Fieldfare] Screwdriver Utilization (%)","[Moorhen] Screwdriver Utilization (%)","[Scaup, Lesser] Screwdriver Utilization (%)","[Bluetail, Red-flanked] Screwdriver Utilization (%)","[Flycatcher, Taiga] Screwdriver Utilization (%)","[Lark, Calandra] Screwdriver Utilization (%)","[White, Great] Screwdriver Utilization (%)","[Bunting, Ortolan] Screwdriver Utilization (%)","[Smew] Screwdriver Utilization (%)","[Bufflehead] Screwdriver Utilization (%)","[Nuthatch] Screwdriver Utilization (%)","[Thrush, Hermit] Screwdriver Utilization (%)","[Shearwater, Balearic] Screwdriver Utilization (%)","[Chaffinch] Screwdriver Utilization (%)","[Egret, Snowy] Screwdriver Utilization (%)","[Fulmar] Screwdriver Utilization (%)","[Shearwater, Macaronesian] Screwdriver Utilization (%)","[Warbler, Hooded] Screwdriver Utilization (%)","[Jackdaw] Screwdriver Utilization (%)","[Accentor, Alpine] Screwdriver Utilization (%)","[Kestrel, Lesser] Screwdriver Utilization (%)","[Tern, Caspian] Screwdriver Utilization (%)","[Warbler, Blackpoll] Screwdriver Utilization (%)","[Dunlin] Screwdriver Utilization (%)","[Goose, Red-breasted] Screwdriver Utilization (%)","[Gull, Yellow-legged] Screwdriver Utilization (%)","[Warbler, Cetti's] Screwdriver Utilization (%)","[Petrel, Fea's] Screwdriver Utilization (%)","[Chiffchaff, Iberian] Screwdriver Utilization (%)","[Warbler, Savi's] Screwdriver Utilization (%)","[Dotterel] Screwdriver Utilization (%)","[Martin, Sand] Screwdriver Utilization (%)","[Swift, Little] Screwdriver Utilization (%)","[Bittern] Screwdriver Utilization (%)","[Harrier, Hen] Screwdriver Utilization (%)","[Dowitcher, Short-billed] Screwdriver Utilization (%)","[Shearwater, Great] Screwdriver Utilization (%)","[Spotted, Great] Screwdriver Utilization (%)","[Gull, Glaucous-winged] Screwdriver Utilization (%)","[Blackbird] Screwdriver Utilization (%)","[Yellowthroat, Common] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0,0,0.211770544,0,0,0,0,0,0,0,0.209329572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0.299999421,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0.008962095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0.299999421,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0.485697049,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0.225346354,0,1.799995660,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,3.895207176,0,0,1.999993056,0.003350694,1.194663194,1.549806424,0,0,0,0,0,4.477908565,0.553313947,0,0.581886574,0,0,0,0,0,0.248302517,0,0,0,0,0,0.248818576,0,0,0,0,0,0,0,0,0.004918113,0,0,0,0
2016-12-28,22.845656539,0.992739294,30.695164063,2.407010127,0.025000000,5.184785301,2.438892940,0,0,2.044621528,0,0,3.431216725,1.899995949,0,1.469855324,0,0.366240741,0,0,0.350473380,1.012496962,0.188988426,0,0,0,0,0.299998843,0,0,0.097927662,0,0,0,0,0,0.025000000,0,0,0,0
2016-12-29,51.620959780,13.107440683,41.199841146,7.962559896,0.466943432,5.464631752,4.652473669,1.910879051,6.063764178,4.064192130,1.712373553,0,4.181074556,1.899995949,0,2.295769676,0,1.406184028,0.268793403,0,2.699982928,0.891909529,0.899994213,0,0,1.081448206,0.112403646,0.299998843,0.007541667,0.790609086,0.499997106,0.054170428,0,0,0.010518808,0,0.025000000,0,0,0,0
2016-12-30,24.475765480,22.673074363,20.613499277,6.307616609,13.020529225,5.833257909,5.043630208,6.381259259,11.436723958,5.701347512,9.595090278,7.712890914,2.760960455,1.899995949,0,2.196586227,3.183085648,2.740309606,3.630742477,0,2.001105324,1.917235725,0.566135417,0.543924769,0.340197338,0.419616609,1.106234375,0.207258970,0.296171730,0.500001881,0.402214120,0.070867188,0.068743056,0.112609086,0.085533275,0.028365451,0.020089410,0.014526331,0.029312500,0.023478009,0.001083333
2016-12-31,11.590852286,21.372927373,5.531278356,12.271612269,18.307550000,5.115072627,5.910682581,7.124462674,1.656803530,2.876922454,3.422869502,5.939164641,1.336861400,1.903752894,0.039316551,1.497633102,5.765368345,2.158183160,2.411297743,3.618695891,0.299997685,2.959961806,0,0.130701389,0.952327836,0,0.014374132,0.008034144,0.743760272,0.307278356,0,0.511645833,0.523891493,0.026992766,0.008991319,0.028379051,0,0.047837384,0,0,0
2017-01-01,1.509988860,11.649777488,0.059324074,5.102655382,1.763763021,2.340275077,3.316732928,4.868621238,0,1.306745370,0,0,0,1.767234375,9.937511863,1.028154803,0,1.003213542,0.156229456,1.862882813,0.063075810,0.387097222,0,0.906777778,0.214706887,0.003611111,0,0,0.036727720,0,0,0.011909722,0.022297454,0.001814525,0,0.028282697,0,0,0,0,0
---------
