title
"CPU Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[aytinis] CPU Hours: Per Job","[duswa] CPU Hours: Per Job","[velsc] CPU Hours: Per Job","[meapi] CPU Hours: Per Job","[chaff] CPU Hours: Per Job","[smew1] CPU Hours: Per Job","[siski] CPU Hours: Per Job","[ferdu] CPU Hours: Per Job","[egygo] CPU Hours: Per Job","[crane] CPU Hours: Per Job","[pereg] CPU Hours: Per Job","[yebbu] CPU Hours: Per Job","[yebwa] CPU Hours: Per Job","[evegr] CPU Hours: Per Job","[gloib] CPU Hours: Per Job","[ovenb] CPU Hours: Per Job","[whtsp] CPU Hours: Per Job","[whimb] CPU Hours: Per Job","[sarwa] CPU Hours: Per Job","[shag1] CPU Hours: Per Job","[garwa] CPU Hours: Per Job","[whtpl] CPU Hours: Per Job","[misth] CPU Hours: Per Job","[ybsbu] CPU Hours: Per Job","[shttr] CPU Hours: Per Job","[sposa] CPU Hours: Per Job","[sancr] CPU Hours: Per Job","[corsh] CPU Hours: Per Job","[rolle] CPU Hours: Per Job","[field] CPU Hours: Per Job","[hoowa] CPU Hours: Per Job","[noror] CPU Hours: Per Job","[yebsa] CPU Hours: Per Job","[litau] CPU Hours: Per Job","[boowa] CPU Hours: Per Job","[alpsw] CPU Hours: Per Job","[lesre] CPU Hours: Per Job","[lanhach] CPU Hours: Per Job","[allga] CPU Hours: Per Job","[caspl] CPU Hours: Per Job","[vertera] CPU Hours: Per Job","[grath] CPU Hours: Per Job","[mamwa] CPU Hours: Per Job","[sante] CPU Hours: Per Job","[ribgu] CPU Hours: Per Job","[lapwi] CPU Hours: Per Job","[jackd] CPU Hours: Per Job","[moorh] CPU Hours: Per Job","[turdo] CPU Hours: Per Job","[dunli] CPU Hours: Per Job","[swath] CPU Hours: Per Job","[blhbu] CPU Hours: Per Job","[reebu] CPU Hours: Per Job","[pibgr] CPU Hours: Per Job","[legsh] CPU Hours: Per Job","[litst] CPU Hours: Per Job","[henha] CPU Hours: Per Job","[honbu] CPU Hours: Per Job","[crama] CPU Hours: Per Job","[relpa] CPU Hours: Per Job","[coot1] CPU Hours: Per Job","[proubis] CPU Hours: Per Job","[categ] CPU Hours: Per Job","[sogsh] CPU Hours: Per Job","[savsp] CPU Hours: Per Job","[grgsh] CPU Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.95640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.29970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,8.60360000,0,0,0,0,287.99940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,287.99940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,156.95805000,0,0,0,76.17655000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.26650000,0,0,0,0,0,0,0,0,0,0,287.99970000,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,287.99945000,0,0,0,575.99845000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,0,0,2997.10830000,1246.46630000,243.18170000,0,1487.81420000,0,0,0,0,0,0,0,0,78.98645000,0,0,0,0,383.99866000,0,0,136.79500000,111.72222000,0,650.84195000,0,0,0,0,287.99970000,0,0,238.86580000,0,0,0,0,0,0,0,4.72140000,24.00000000,0,0,0,0,287.99945000,0,0,0,143.14620833,0,0,0,0,3.21670000,0,0,0,0,0,0,0,0
2016-12-28,3274.15083333,0,3455.98670000,1462.12202000,1535.99640000,0,1170.66865000,0,0,0,0,0,0,0,94.01060000,383.99890000,0,0,266.54010000,193.12595000,144.42060625,60.47630000,37.38382222,383.99860000,141.10611000,0,284.72267273,0,0,0,70.31822000,287.99970000,0,0,287.99890000,0,0,0,0,0,0,0,24.00000000,24.00000000,0,13.35263061,0,5.01594579,287.99945000,0,0,0,630.22436154,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0
2016-12-29,4394.64972222,0,3455.98670000,2251.53997273,1535.99640000,831.60194286,1439.99435000,180.11580000,410.96965000,611.48130000,1406.27030000,758.98470000,1038.19030000,107.90750000,479.99720000,383.99890000,0,0,535.35031429,387.20823333,382.20287500,287.99813333,287.99817778,106.45094000,164.24527500,48.73892000,357.72950000,39.71661667,0,0,111.16369000,287.99970000,79.40908571,52.00360000,287.99890000,0,28.69420000,22.24190000,0,0,0,7.24000000,24.00000000,19.56845000,0,16.60265745,0,13.10744063,38.39821579,0,35.48555385,0,403.97985200,4.65991200,0,0,2.01960000,4.96867149,0,0,0,0,0,0,0,0
2016-12-30,4394.64972222,2468.12510000,324.25025000,2131.61558182,1535.99640000,1568.46500000,625.34765000,1439.99420000,1151.41083750,765.75111250,489.36480000,480.00180000,402.83190000,510.57290000,386.12560000,383.99890000,0,683.10110000,129.32164000,173.83891111,302.76559500,181.16333333,174.64191818,164.41980000,102.30640000,114.58523167,77.69218723,143.85805000,21.99776667,64.03560000,92.48954375,287.99970000,77.76252000,68.03250000,13.26458000,6.51777500,52.54250000,4.02352500,28.14000000,0,16.32947500,142.16242500,19.28580000,3.56860000,17.79720000,21.71941905,10.84230000,13.31263076,8.81518309,5.80186333,4.14055596,3.48630000,2.20209931,5.34415000,4.25001697,5.65000000,4.10560000,3.17815848,1.60992143,1.04000000,0.97263750,0.97243333,0.97257500,1.58977647,0.02760000,0.02405135
2016-12-31,1121.36703333,5701.59810000,0,1158.12033684,1535.99640000,1590.53140000,444.35830000,1439.99420000,821.48867500,977.06917143,1439.98670000,294.98720000,0,0,0,265.13422000,385.99422222,261.10178889,772.86614444,224.42156667,245.43224375,0,287.99780000,130.38656667,119.81065000,190.07037083,30.92498675,191.99921667,251.46790000,158.30250000,57.49128750,58.32126000,76.17240000,70.16857143,1.92820000,131.93777500,23.98420000,25.91166667,0,2.35898750,35.16286923,14.57162959,0,0,14.11250000,10.83076667,22.00930000,12.53390977,8.33840252,12.54733000,1114.53580000,7.65398333,1.45788632,0,5.54029389,2.45222500,8.63170000,3.84822922,0,0,0.97312500,0.97349167,0.97211250,1.07970833,0.02280588,0.01479003
2017-01-01,0,0,0,263.47803333,1293.29470000,0,0,1140.36220000,0,667.69662857,158.24860000,0,3.46670000,0,0,371.58780000,198.70750000,269.35038571,70.31932222,118.89890000,104.22445106,0,60.55280000,0,141.00408571,63.49952500,0,68.79178571,21.40560000,61.31875000,0,15.50963077,51.40423636,5.71665000,0,7.11888750,45.96250000,45.02654444,0,25.37237088,8.24474400,35.25860000,0,0,0,13.34548511,0,11.50595298,9.56626721,6.26263885,0,0,36.21201310,0,0,0,0,0.56757297,0,0,0.96978750,0.96958333,0.96976250,0.02809516,0.02560000,0
---------
