title
"CPU Hours: Per Job: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[ovenb] CPU Hours: Per Job","[ybsbu] CPU Hours: Per Job","[sante] CPU Hours: Per Job","[swath] CPU Hours: Per Job","[litst] CPU Hours: Per Job","[savsp] CPU Hours: Per Job"
2016-12-23,0,0,8.60360000,0,0,0
2016-12-24,0,0,24.00000000,0,0,0
2016-12-25,0,0,24.00000000,0,0,0
2016-12-26,0,0,24.00000000,0,0,0
2016-12-27,78.98645000,136.79500000,24.00000000,0,0,0
2016-12-28,383.99890000,383.99860000,24.00000000,0,0,0
2016-12-29,383.99890000,106.45094000,19.56845000,35.48555385,0,0
2016-12-30,383.99890000,164.41980000,3.56860000,4.14055596,5.65000000,0.02760000
2016-12-31,265.13422000,130.38656667,0,1114.53580000,2.45222500,0.02280588
2017-01-01,371.58780000,0,0,0,0,0.02560000
---------
