title
"Node Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[duswa] Node Hours: Per Job","[aytinis] Node Hours: Per Job","[velsc] Node Hours: Per Job","[chaff] Node Hours: Per Job","[meapi] Node Hours: Per Job","[siski] Node Hours: Per Job","[smew1] Node Hours: Per Job","[evegr] Node Hours: Per Job","[ferdu] Node Hours: Per Job","[crane] Node Hours: Per Job","[pereg] Node Hours: Per Job","[yebwa] Node Hours: Per Job","[egygo] Node Hours: Per Job","[sarwa] Node Hours: Per Job","[whtsp] Node Hours: Per Job","[yebbu] Node Hours: Per Job","[whimb] Node Hours: Per Job","[ovenb] Node Hours: Per Job","[mamwa] Node Hours: Per Job","[yebsa] Node Hours: Per Job","[sante] Node Hours: Per Job","[garwa] Node Hours: Per Job","[shttr] Node Hours: Per Job","[gloib] Node Hours: Per Job","[ribgu] Node Hours: Per Job","[lapwi] Node Hours: Per Job","[whtpl] Node Hours: Per Job","[jackd] Node Hours: Per Job","[ybsbu] Node Hours: Per Job","[misth] Node Hours: Per Job","[corsh] Node Hours: Per Job","[moorh] Node Hours: Per Job","[boowa] Node Hours: Per Job","[shag1] Node Hours: Per Job","[field] Node Hours: Per Job","[sposa] Node Hours: Per Job","[hoowa] Node Hours: Per Job","[lesre] Node Hours: Per Job","[rolle] Node Hours: Per Job","[grath] Node Hours: Per Job","[sancr] Node Hours: Per Job","[noror] Node Hours: Per Job","[litau] Node Hours: Per Job","[blhbu] Node Hours: Per Job","[pibgr] Node Hours: Per Job","[legsh] Node Hours: Per Job","[alpsw] Node Hours: Per Job","[henha] Node Hours: Per Job","[lanhach] Node Hours: Per Job","[allga] Node Hours: Per Job","[caspl] Node Hours: Per Job","[vertera] Node Hours: Per Job","[turdo] Node Hours: Per Job","[coot1] Node Hours: Per Job","[proubis] Node Hours: Per Job","[categ] Node Hours: Per Job","[sogsh] Node Hours: Per Job","[swath] Node Hours: Per Job","[dunli] Node Hours: Per Job","[litst] Node Hours: Per Job","[reebu] Node Hours: Per Job","[honbu] Node Hours: Per Job","[crama] Node Hours: Per Job","[relpa] Node Hours: Per Job","[savsp] Node Hours: Per Job","[grgsh] Node Hours: Per Job"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74640000,0,0,0,0,0,0,0,0,0,0,16.94170000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,13.07985000,0,0,0,0,0,0,0,3.17405000,0,0,0,0,0
2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,2.70416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0
2016-12-27,0,0,249.75920000,30.39780000,103.87223333,123.98440000,0,0,0,0,0,0,0,0,0,0,0,4.93667500,4.72140000,0,24.00000000,23.99988000,13.96528000,0,0,0,0,0,8.54970000,0,0,0,19.90560000,0,0,0,0,0,0,0,40.67765000,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,5.60910000,3.21670000,0,0,0,0
2016-12-28,0,204.63442222,287.99890000,191.99940000,121.84350000,110.33375000,0,0,0,0,0,0,0,33.31750000,0,0,0,23.99992500,24.00000000,0,24.00000000,9.02628750,17.63828000,4.70060000,0,13.35263061,5.03973333,0,24.00000000,3.11531111,0,5.01594579,24.00000000,10.70500000,0,0,8.78978000,0,0,0,19.51676364,24.00000000,0,0,0,0,0,0,0,0,0,0,24.00000000,0,0,0,0,0,0,0,22.46373846,24.00000000,0,0,0,0
2016-12-29,0,274.66561111,287.99890000,191.99940000,187.62833182,143.99940000,69.30015714,26.97690000,15.00970000,50.95676667,117.18920000,129.77390000,25.68555000,64.73102857,0,37.94920000,0,23.99992500,24.00000000,19.85225714,19.56845000,23.88768000,20.53067500,24.00000000,0,16.60265745,23.99980000,0,8.50646000,23.99984444,4.96458333,13.10744063,24.00000000,18.93416667,0,4.06158000,13.89547000,7.17360000,0,3.62000000,23.34251250,24.00000000,10.40080000,0,4.65991200,0,0,2.01960000,22.24190000,0,0,0,3.53663158,0,0,0,0,2.38295385,0,0,14.25151200,0.65388554,0,0,0,0
2016-12-30,205.67710000,274.66561111,23.88040000,191.99940000,177.63463182,76.11220000,130.70544286,127.64320000,119.99940000,63.81260000,40.78036667,50.35390000,71.96318750,14.46211429,0,24.00015000,56.92500000,23.99992500,19.28580000,19.44062667,3.56860000,18.92284500,12.82748333,19.30640000,17.79720000,21.71941905,15.09693333,10.84230000,18.07551667,14.55349091,17.98225000,13.31263076,11.72417333,9.52654444,8.00440000,9.54876667,11.13354375,13.13560000,2.52583333,16.84687500,5.03888617,24.00000000,13.60640000,3.48630000,5.34415000,4.25001697,0.81472500,4.10560000,3.96547500,2.34500000,0,1.36229000,1.09007994,0.97263750,0.97243333,0.97257500,1.58977647,0.63121417,0.56943000,0.43604286,0.13315395,0.32887282,0.08050000,0.06500000,0.02760000,0.02405135
2016-12-31,475.13310000,70.08543333,0,191.99940000,96.51003158,55.54470000,132.54420000,0,119.99940000,81.42241429,119.99890000,0,51.34305000,96.20796667,33.22222222,14.74940000,21.75847778,16.57088000,0,19.04309412,0,23.17908958,14.97631667,0,14.11250000,10.83076667,0,22.00930000,16.29833333,23.99970000,23.99990000,12.53390977,1.92820000,9.82925000,19.78780000,15.83920000,6.09471875,5.99610000,21.37180000,7.28581633,1.97841325,4.89018000,6.47384286,7.65398333,0,5.54029389,16.49222500,8.63170000,1.29613333,0,0.19659375,2.93023462,1.04230084,0.97312500,0.97349167,0.97211250,1.07970833,69.65860000,1.04562000,0.15327500,0.13894780,0.36784591,0,0,0.02280588,0.01479003
