title
"Node Hours: Per Job: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[ovenb] Node Hours: Per Job","[sante] Node Hours: Per Job","[ybsbu] Node Hours: Per Job","[swath] Node Hours: Per Job","[litst] Node Hours: Per Job","[savsp] Node Hours: Per Job"
2016-12-23,0,8.60360000,0,0,0,0
2016-12-24,0,24.00000000,0,0,0,0
2016-12-25,0,24.00000000,0,0,0,0
2016-12-26,0,24.00000000,0,0,0,0
2016-12-27,4.93667500,24.00000000,8.54970000,0,0,0
2016-12-28,23.99992500,24.00000000,24.00000000,0,0,0
2016-12-29,23.99992500,19.56845000,8.50646000,2.38295385,0,0
2016-12-30,23.99992500,3.56860000,18.07551667,0.63121417,0.43604286,0.02760000
2016-12-31,16.57088000,0,16.29833333,69.65860000,0.15327500,0.02280588
2017-01-01,23.22420000,0,0,0,0,0.02560000
---------
