title
"Wait Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wait Hours: Per Job","Std Dev: Wait Hours: Per Job"
shttr,233.46900000,27.70850059295921
swath,229.08833226,0.3165144562337443
meapi,81.66292917,7.183771270440663
siski,56.48110000,13.862828445162263
yebbu,52.74115000,37.29241880267786
velsc,39.39500000,27.85548955209239
sancr,35.06708681,1.6947647788562477
yebwa,31.02180000,3.7428536858056263
grath,26.77900396,0.30931367129928466
ovenb,18.86934000,16.87668579281438
sante,14.27555000,3.3086704803020535
pereg,13.04696667,0.5705177028327323
dunli,12.67979916,0.790292910753799
boowa,8.19083333,2.9697909176657884
duswa,6.67770000,0.98851049021015
caspl,5.36508915,0.16785146849699545
sposa,5.35740500,0.44586416880536145
yebsa,5.08810556,2.3125587964499617
misth,4.41189091,0.6571458545780616
legsh,3.92752470,0.08635320372070841
whtpl,3.72480000,0.0007211928415468717
whimb,2.29754286,1.159786159539825
ybsbu,2.15913333,1.2980363906441126
whtsp,2.15222222,0.6988290975119311
honbu,2.05241888,0.0266461444300528
smew1,1.98928571,0.9136179906052263
crane,1.88463125,0.5086144929601321
shag1,1.36357273,1.050607504263938
evegr,0.98805000,0.13847507798236555
grgsh,0.74185808,0.007454789465231042
garwa,0.68931698,0.18792064181649995
sarwa,0.68492889,0.20891751003386838
henha,0.32390500,0.2312398274998169
hoowa,0.30899524,0.06608296019883089
vertera,0.29952899,0.12719098377944033
moorh,0.20714968,0.015675479418422043
allga,0.09780000,0
litst,0.09015455,0.047849695531533384
sogsh,0.08220260,0.011574714004551338
corsh,0.07831875,0.019809027302287216
reebu,0.06252201,0.016249488196930326
lapwi,0.05740390,0.004593062258338074
noror,0.04120667,0.015935275751000608
rolle,0.04035000,0.034861577990454876
ferdu,0.03110000,0
turdo,0.02859807,0.009599314670761935
litau,0.01748000,0.00747562396751627
blhbu,0.01409000,0.0026920235401535287
savsp,0.01404615,0.002043989277526459
pibgr,0.01099400,0.004697248275110087
ribgu,0.00750000,0
lanhach,0.00179375,0.001340063838980952
crama,0.00105000,0.00005735857833479565
egygo,0.00058750,0.000142636082683637
field,0.00053333,0.00022680460581325727
gloib,0.00030000,0
aytinis,0.00018889,0.000043648566827207465
alpsw,0.00016250,0.00004891244648257224
coot1,0.00015000,0.000032651062689513116
lesre,0.00015000,0.00009820927516479826
categ,0.00012917,0.00002825196474708646
proubis,0.00010833,0.00002506891552546276
chaff,0.00000000,0
jackd,0.00000000,0
mamwa,0.00000000,0
relpa,0.00000000,0
---------
