title
"Wall Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
chaff,120.00722222,0
sante,87.43875000,49.35183032798893
ovenb,82.76488889,11.312781727255723
mamwa,72.00694444,0
aytinis,72.00432099,0.0007574156507426745
siski,70.03500000,0.00019641855032959653
ferdu,70.00777778,0
meapi,63.57475694,3.1381681002203465
garwa,52.33125262,0
lapwi,49.85089556,1.1100556984971608
yebsa,49.75942901,0
gloib,48.00666667,0
shttr,46.66083333,5.055259197449116
whtpl,44.13648148,3.886377717302869
misth,39.37916667,3.507453886399548
ybsbu,38.73828704,7.9645023860315876
velsc,37.18166667,24.62597574757316
smew1,36.49007937,2.4079164021948176
ribgu,31.90972222,0
corsh,27.37690972,4.572729206073984
whtsp,25.49490741,0
moorh,25.48654262,0.09521333842934647
yebbu,25.17486111,17.80092216999551
pereg,24.84777778,1.3787469626524342
jackd,21.84694444,1.3829746334642423
hoowa,21.83599206,4.004901663765416
shag1,20.71641414,8.044522844697061
lesre,18.89791667,0
sposa,16.91415278,1.4100272146527622
boowa,16.76537037,3.9113055556030742
egygo,15.78250000,1.4182317241819407
duswa,15.43750000,9.334819660458281
field,14.37398148,0
crane,12.67826389,0.4307670195516059
evegr,10.08083333,7.102298361367881
pibgr,10.00406111,0.0004021462476186951
sarwa,9.41403086,1.7878258773980031
noror,9.12110185,7.611183017169982
legsh,8.59051583,0.027937647321332644
grath,7.94699670,0.4591918062663623
sancr,7.43894097,1.273761336361732
litau,7.02769444,2.431694700689441
whimb,6.17696429,0.6904423782007592
blhbu,5.98691667,0.9781127830854603
henha,5.04208333,1.9381499596292342
rolle,4.58416667,1.606624250847252
yebwa,4.51402778,3.1765790052054
lanhach,3.89088542,2.2654968346862243
caspl,2.10733760,0.047308522370844895
turdo,1.44922324,0.2243324934394895
coot1,0.97185185,0.00047851951362786767
proubis,0.97183642,0.00037868084285168444
categ,0.97148148,0.0005075905675059156
sogsh,0.88155664,0.09909785167735996
vertera,0.81574879,0.33900156725604075
alpsw,0.66013889,0.2379191991153246
swath,0.56853008,0.06726666901074678
litst,0.33320707,0.09324722160395126
reebu,0.29758033,0.04570460182877697
honbu,0.28378820,0.0027004165583816484
allga,0.26055556,0
dunli,0.18926081,0.027954377835160745
crama,0.08049603,0.022331879009996003
relpa,0.06500000,0
savsp,0.02439103,0.001692897033294295
grgsh,0.02076714,0.0006447632527319156
---------
