title
"Wall Hours: Per Job: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
chaff,120.00720000,0
sante,87.43875000,49.35183032798893
ovenb,82.76490000,11.312781727255723
mamwa,72.00690000,0
aytinis,72.00432222,0.0007574156507426745
siski,70.03500000,0.00019641855032959653
ferdu,70.00780000,0
meapi,63.57475833,3.1381681002203465
garwa,52.33125283,0
lapwi,49.85089578,1.1100556984971628
yebsa,49.75943333,0
gloib,48.00670000,0
shttr,46.66083182,5.055259197449116
whtpl,44.13646667,3.886377717302869
misth,39.37916364,3.507453886399556
ybsbu,38.73828333,7.9645023860315876
velsc,37.18170000,24.62597574757316
smew1,36.49008571,2.4079164021948176
ribgu,31.90970000,0
corsh,27.37690625,4.572729206073983
whtsp,25.49491111,0
moorh,25.48654256,0.09521333842934561
yebbu,25.17490000,17.80092216999551
pereg,24.84776667,1.378746962652221
jackd,21.84695000,1.3829746334642423
hoowa,21.83599048,4.004901663765416
shag1,20.71641818,8.044522844697065
lesre,18.89795000,0
sposa,16.91415333,1.4100272146527626
boowa,16.76537333,3.9113055556030742
egygo,15.78248750,1.4182317241819407
duswa,15.43750000,9.334819660458281
field,14.37396667,0
crane,12.67826250,0.4307670195515926
evegr,10.08085000,7.102298361367881
pibgr,10.00406200,0.0004021462476186951
sarwa,9.41402667,1.7878258773980027
noror,9.12110000,7.611183017169982
legsh,8.59051570,0.027937647321332644
grath,7.94699604,0.4591918062663623
sancr,7.43894097,1.273761336361732
litau,7.02768000,2.431694700689441
whimb,6.17697143,0.6904423782007619
blhbu,5.98691000,0.9781127830854603
henha,5.04208500,1.9381499596292342
rolle,4.58417500,1.606624250847252
yebwa,4.51405000,3.1765790052054
lanhach,3.89088750,2.2654968346862243
caspl,2.10733770,0.047308522370844736
turdo,1.44922342,0.22433249343948947
coot1,0.97185000,0.00047851951362786767
proubis,0.97183611,0.00037868084285168444
categ,0.97148333,0.0005075905675059156
sogsh,0.88155649,0.09909785167735996
vertera,0.81574783,0.3390015672560407
alpsw,0.66013750,0.2379191991153246
swath,0.56853001,0.06726666901074678
litst,0.33320909,0.09324722160395126
reebu,0.29758034,0.04570460182877697
honbu,0.28378820,0.002700416558381652
allga,0.26060000,0
dunli,0.18926151,0.027954377835160745
crama,0.08050000,0.022331879009996003
relpa,0.06500000,0
savsp,0.02439231,0.001692897033294295
grgsh,0.02076716,0.0006447632527319156
---------
