title
"Node Hours: Total: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Node Hours: Total"
moorh,67004.1206
honbu,15603.5273
lapwi,15354.0759
meapi,12206.3536
legsh,8590.5158
aytinis,7416.4597
garwa,2773.5560
sarwa,2004.2246
reebu,1757.5099
crane,1622.8177
caspl,1593.1473
smew1,1532.5834
sancr,1494.1236
turdo,1423.1385
duswa,1092.1644
shttr,1026.5664
sposa,1014.8490
chaff,960.0573
yebsa,895.6695
egygo,883.8199
velsc,873.5178
siski,840.4198
grath,802.6469
swath,550.6927
pibgr,500.2031
whtsp,458.9084
hoowa,458.5558
corsh,438.0304
misth,433.1706
ovenb,413.8244
whimb,409.8722
pereg,372.7167
ferdu,350.0388
evegr,282.2633
noror,273.8467
boowa,251.4810
ybsbu,232.4301
shag1,227.8811
yebwa,180.5611
sante,174.8777
dunli,150.5342
sogsh,135.7597
whtpl,132.4094
vertera,120.6085
henha,100.8417
yebbu,100.6989
jackd,87.3878
alpsw,76.3467
mamwa,72.0072
litau,70.2768
lanhach,62.2541
blhbu,59.8691
grgsh,54.6383
rolle,54.6022
gloib,48.0070
field,43.1219
lesre,37.7959
proubis,34.9861
ribgu,31.9097
coot1,23.3244
categ,23.3156
litst,3.6654
allga,2.3450
crama,1.1270
savsp,0.6341
relpa,0.0650
---------
