title
"Node Hours: Total: by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[swath] Node Hours: Total","[ovenb] Node Hours: Total","[ybsbu] Node Hours: Total","[sante] Node Hours: Total","[litst] Node Hours: Total","[savsp] Node Hours: Total"
2016-12-23,0,0,0,8.6036,0,0
2016-12-24,0,0,0,24.0000,0,0
2016-12-25,0,0,0,24.0000,0,0
2016-12-26,0,0,0,24.0000,0,0
2016-12-27,0,19.7467,8.5497,24.0000,0,0
2016-12-28,0,95.9997,24.0000,24.0000,0,0
2016-12-29,30.9783,95.9997,42.5322,39.1369,0,0
2016-12-30,450.0558,95.9997,108.4531,7.1372,3.0522,0.2208
2016-12-31,69.6586,82.8544,48.8950,0,0.6131,0.3878
2017-01-01,0,23.2242,0,0,0,0.0256
---------
