title
"Wait Hours: Total: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Wait Hours: Total"
swath,163339.9809
honbu,112848.1473
shttr,5136.3180
sancr,5049.6605
caspl,4056.0074
legsh,3927.5247
dunli,3030.4720
grath,2704.6794
meapi,1959.9103
grgsh,1951.8286
moorh,544.5965
reebu,369.2550
sposa,321.4443
boowa,122.8625
siski,112.9622
yebbu,105.4823
ovenb,94.3467
yebsa,91.5859
velsc,78.7900
yebwa,62.0436
misth,48.5308
pereg,39.1409
garwa,36.5338
whimb,32.1656
sarwa,30.8218
crane,30.1541
sante,28.5511
turdo,28.0833
vertera,20.6675
duswa,20.0331
whtsp,19.3700
lapwi,17.6804
shag1,14.9993
smew1,13.9250
ybsbu,12.9548
sogsh,12.6592
whtpl,11.1744
hoowa,6.4889
henha,6.4781
evegr,1.9761
corsh,1.2531
noror,1.2362
litst,0.9917
pibgr,0.5497
savsp,0.3652
litau,0.1748
rolle,0.1614
blhbu,0.1409
allga,0.0978
ferdu,0.0311
lanhach,0.0287
crama,0.0147
ribgu,0.0075
egygo,0.0047
proubis,0.0039
coot1,0.0036
categ,0.0031
alpsw,0.0026
aytinis,0.0017
field,0.0016
gloib,0.0003
lesre,0.0003
chaff,0.0000
jackd,0.0000
mamwa,0.0000
relpa,0.0000
---------
