title
"Screwdriver Utilization (%): by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
Day,"[meapi] Screwdriver Utilization (%)","[aytinis] Screwdriver Utilization (%)","[moorh] Screwdriver Utilization (%)","[garwa] Screwdriver Utilization (%)","[honbu] Screwdriver Utilization (%)","[crane] Screwdriver Utilization (%)","[smew1] Screwdriver Utilization (%)","[lapwi] Screwdriver Utilization (%)","[egygo] Screwdriver Utilization (%)","[duswa] Screwdriver Utilization (%)","[turdo] Screwdriver Utilization (%)","[sposa] Screwdriver Utilization (%)","[reebu] Screwdriver Utilization (%)","[caspl] Screwdriver Utilization (%)","[legsh] Screwdriver Utilization (%)","[siski] Screwdriver Utilization (%)","[sarwa] Screwdriver Utilization (%)","[shttr] Screwdriver Utilization (%)","[chaff] Screwdriver Utilization (%)","[sancr] Screwdriver Utilization (%)","[ovenb] Screwdriver Utilization (%)","[velsc] Screwdriver Utilization (%)","[whtsp] Screwdriver Utilization (%)","[misth] Screwdriver Utilization (%)","[whimb] Screwdriver Utilization (%)","[pereg] Screwdriver Utilization (%)","[ferdu] Screwdriver Utilization (%)","[hoowa] Screwdriver Utilization (%)","[yebsa] Screwdriver Utilization (%)","[corsh] Screwdriver Utilization (%)","[noror] Screwdriver Utilization (%)","[shag1] Screwdriver Utilization (%)","[swath] Screwdriver Utilization (%)","[whtpl] Screwdriver Utilization (%)","[dunli] Screwdriver Utilization (%)","[vertera] Screwdriver Utilization (%)","[yebwa] Screwdriver Utilization (%)","[ybsbu] Screwdriver Utilization (%)","[evegr] Screwdriver Utilization (%)","[boowa] Screwdriver Utilization (%)","[grath] Screwdriver Utilization (%)","[yebbu] Screwdriver Utilization (%)","[gloib] Screwdriver Utilization (%)","[litau] Screwdriver Utilization (%)","[alpsw] Screwdriver Utilization (%)","[rolle] Screwdriver Utilization (%)","[pibgr] Screwdriver Utilization (%)","[field] Screwdriver Utilization (%)","[lanhach] Screwdriver Utilization (%)","[sante] Screwdriver Utilization (%)","[lesre] Screwdriver Utilization (%)","[sogsh] Screwdriver Utilization (%)","[henha] Screwdriver Utilization (%)","[jackd] Screwdriver Utilization (%)","[mamwa] Screwdriver Utilization (%)","[blhbu] Screwdriver Utilization (%)","[grgsh] Screwdriver Utilization (%)","[proubis] Screwdriver Utilization (%)","[ribgu] Screwdriver Utilization (%)","[allga] Screwdriver Utilization (%)","[litst] Screwdriver Utilization (%)","[coot1] Screwdriver Utilization (%)","[categ] Screwdriver Utilization (%)","[crama] Screwdriver Utilization (%)","[relpa] Screwdriver Utilization (%)","[savsp] Screwdriver Utilization (%)"
2016-12-22,0,0,0,0,0,0,0,0,0,0,0.211770544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209329572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-23,0,0,0,0,0,0,0,0,0,0,0.299999421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008962095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-24,0,0,0,0,0,0,0,0,0,0,0.299999421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,0,0,0,0,0,0,0,0.326995949,0,0.158701100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-26,0,0,0,0.225346354,0,0,0,0,0,0,0.599998843,0,1.199996817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,3.895207176,0,0,1.999993056,0.003350694,0,0,0,0,0,0.599998843,0,0.894663773,0,0,1.549806424,0,0.581886574,0.253314236,1.355920718,0.329110243,3.121987847,0,0,0,0,0,0,0,0,0.299999711,0,0,0,0,0,0,0.142494792,0,0.248818576,0,0,0,0,0,0,0,0,0,0.025000000,0,0,0,0,0.004918113,0,0,0,0,0,0,0,0,0,0,0
2016-12-28,22.845656539,30.695164063,0.992739294,2.407010127,0.025000000,0,0,2.044621528,0,0,0.599998843,0,4.267144097,0,0,2.438892940,0.832937789,1.469855324,1.599996238,1.631223669,1.599995370,3.599986111,0,0.350473380,0,0,0,0.366240741,0,0,0.299999711,0.201172888,0,0.188988426,0,0,0,0.399998553,0,0.299998843,0,0,0.097927662,0,0,0,0,0,0,0.025000000,0,0,0,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0
2016-12-29,51.597791088,41.199841146,13.107440683,7.962559896,0.322187283,1.910879051,6.063764178,4.064192130,1.712373553,0,0.759964699,0.507697049,3.506769579,0,0,2.999988137,3.903596065,2.053065972,1.599996238,2.981079186,1.599995370,3.599986111,0,2.699982928,0,1.464864873,0.187620660,1.157955150,0.579024595,0.248228877,0.299999711,0.605012876,0.240266782,0.899994213,0,0,1.081448206,0.277216001,0.112403646,0.299998843,0.007541667,0.790609086,0.499997106,0.054170428,0,0,0.242703704,0,0.023168692,0.040767650,0.029889757,0,0.010518808,0,0.025000000,0,0,0,0,0,0,0,0,0,0,0
2016-12-30,48.849523727,41.199841146,22.673074363,6.307616609,12.777521354,6.381259259,11.436723958,5.701347512,9.595090278,7.712890914,3.204686343,7.161576968,2.650165316,0,3.183085648,1.302807581,2.357425781,1.918245081,1.599996238,2.535786651,1.599995370,0.337760706,0,2.001105324,0.711563657,1.529265046,1.499993924,1.541492477,1.215039352,1.198817130,0.299999711,0.814869936,1.537612703,0.566135417,0.543924769,0.340197338,0.419616609,0.513811921,1.063693576,0.207258970,0.296171730,0.500001881,0.402214120,0.070867188,0.027157407,0.068743056,0.278341146,0.066703704,0.008382378,0.007434606,0.054731771,0.112609086,0.085533275,0.045176215,0.020089410,0.014526331,0.042540799,0.012155382,0.018538773,0.029312500,0.020598958,0.008105324,0.008104745,0.023478009,0.001083333,0.000230035
2016-12-31,22.921131655,10.512815972,21.372927373,12.271612269,18.037772743,7.124462674,1.656803530,2.876922454,3.422869502,5.939164641,3.100843461,4.751759259,1.198706501,0.039316551,5.765368345,0.462873264,3.622810041,1.497633102,1.599996238,1.336861400,1.380907407,0,3.618695891,0.299997685,2.447829282,1.499986111,1.499993924,0.958188079,1.348886285,1.199995081,0.303756655,0.701317419,1.160974826,0,0.130701389,0.952327836,0,0.407458044,0,0.008034144,0.743760272,0.307278356,0,0.511645833,0.549740741,0.523891493,0,0.164898438,0.040486979,0,0.024983507,0.026992766,0.008991319,0.045852720,0,0.047837384,0.014374132,0.012168692,0.014700521,0,0.010217593,0.008109375,0.008100984,0,0,0.000403935
2017-01-01,2.470106481,0,11.649777488,5.102655382,1.645961632,4.868621238,0,1.306745370,0,0,3.069177373,0.264581308,1.584275608,9.937511863,0,0,0.659243634,1.028154803,1.347182002,0,0.387070602,0,1.862882813,0.063075810,1.964013310,0.164842303,1.187877315,0,0.589006944,1.003213542,0.420052373,0.123853009,0,0,0.906777778,0.214706887,0.003611111,0,0,0,0.036727720,0,0,0.011909722,0.059324074,0.022297454,0,0.127747396,0.422123843,0,0.047877604,0.001814525,0,0,0,0,0,0.012119792,0,0,0,0.008081597,0.008081308,0,0,0.000026620
---------
