title
"Screwdriver Utilization (%): by System Username"
parameters

"*Restricted To: PI = Tern, C OR User = Tern, C"
start,end
2016-12-22,2017-01-01
---------
Day,"[ovenb] Screwdriver Utilization (%)","[swath] Screwdriver Utilization (%)","[ybsbu] Screwdriver Utilization (%)","[sante] Screwdriver Utilization (%)","[litst] Screwdriver Utilization (%)","[savsp] Screwdriver Utilization (%)"
2016-12-23,0,0,0,0.008962095,0,0
2016-12-24,0,0,0,0.025000000,0,0
2016-12-25,0,0,0,0.025000000,0,0
2016-12-26,0,0,0,0.025000000,0,0
2016-12-27,0.329110243,0,0.142494792,0.025000000,0,0
2016-12-28,1.599995370,0,0.399998553,0.025000000,0,0
2016-12-29,1.599995370,0.240266782,0.277216001,0.040767650,0,0
2016-12-30,1.599995370,1.537612703,0.513811921,0.007434606,0.020598958,0.000230035
2016-12-31,1.380907407,1.160974826,0.407458044,0,0.010217593,0.000403935
2017-01-01,0.387070602,0,0,0,0,0.000026620
---------
